Date,open,high,low,adj_close
2016-01-04,128.21,129.28,127.065,129.19
2016-01-05,128.31,129.27,125.905,126.88
2016-01-06,124.86,125.08,122.85,123.79
2016-01-07,121.27,122.73,119.18,119.64
2016-01-08,120.3,120.89,118.83,119.02
2016-01-11,121.13,121.25,118.64,119.49
2016-01-12,120.69,121.27,119.46,121.21
2016-01-13,121.93,122.35,118.385,118.55
2016-01-14,119.24,119.59,115.64,118.38
2016-01-15,115.55,118.14,114.86,117.82
2016-01-19,119.05,120.14,117.33,119.59
2016-01-20,117.6,118.61,114.64,117.56
2016-01-21,118.18,118.92,116.38,117.17
2016-01-22,119.1,120.6925,117.93,118.97
2016-01-25,118.91,119.2,116.15,116.31
2016-01-26,117.29,119.58,116.45,118.41
2016-01-27,118.12,120.4895,117.52,118.07
2016-01-28,118.73,120.44,118.07,119.01
2016-01-29,122.29,126.78,121.31,126.71
2016-02-01,125.44,131.68,125.015,131.26
2016-02-02,131.06,132.26,129.04,130.81
2016-02-03,133.15,133.89,130.83,133.38
2016-02-04,133.29,137.0,132.96,136.16
2016-02-05,136.16,136.91,134.96,135.6
2016-02-08,134.01,134.17,128.79,130.75
2016-02-09,129.28,133.46,128.82,132.46
2016-02-10,132.85,134.5,130.12,130.45
2016-02-11,128.56,130.0,126.1059,127.21
2016-02-12,128.81,130.96,127.27,130.35
2016-02-16,131.11,131.985,129.69,131.35
2016-02-17,132.69,133.16,131.27,132.51
2016-02-18,132.39,132.955,130.58,131.17
2016-02-19,130.7,131.9,128.88,131.53
2016-02-22,132.87,133.91,132.28,132.92
2016-02-23,132.05,132.61,130.5701,131.21
2016-02-24,128.5,131.73,126.38,131.55
2016-02-25,132.1,133.0,130.45,132.99
2016-02-26,133.66,134.47,133.01,133.64
2016-02-29,133.43,134.76,132.41,132.47
2016-03-01,133.78,135.23,131.91,134.39
2016-03-02,133.41,134.98,132.6499,134.22
2016-03-03,134.51,135.95,134.005,134.88
2016-03-04,135.67,136.24,133.58,134.79
2016-03-07,134.69,136.0,133.78,135.0
2016-03-08,133.92,135.085,131.94,134.22
2016-03-09,135.11,135.5,133.69,134.68
2016-03-10,135.47,136.09,133.02,134.6
2016-03-11,135.98,137.78,135.0,136.47
2016-03-14,135.98,136.67,135.26,136.25
2016-03-15,135.0,135.48,133.63,134.05
2016-03-16,133.29,136.45,133.16,136.06
2016-03-17,137.08,141.4,136.2,140.96
2016-03-18,141.1,142.74,140.31,141.59
2016-03-21,141.07,141.86,139.73,140.69
2016-03-22,140.0,143.89,139.74,143.07
2016-03-23,142.46,143.93,141.53,143.93
2016-03-24,144.04,144.36,141.32,141.76
2016-03-28,142.36,143.64,141.9581,143.13
2016-03-29,142.25,145.97,141.53,145.03
2016-03-30,145.0,147.16,144.37,145.25
2016-03-31,145.13,145.68,143.32,144.05
2016-04-01,143.5,145.54,141.9,145.31
2016-04-04,143.73,144.08,142.0,142.7
2016-04-05,142.0,143.39,141.52,142.7
2016-04-06,142.38,143.72,141.6501,143.69
2016-04-07,143.1,143.2,141.56,141.85
2016-04-08,143.4,143.94,142.08,142.52
2016-04-11,143.47,144.36,143.13,143.36
2016-04-12,143.78,144.84,142.84,144.23
2016-04-13,144.97,145.21,143.65,144.4
2016-04-14,144.93,145.18,144.19,145.08
2016-04-15,145.13,145.21,144.245,145.03
2016-04-18,144.66,146.52,144.13,146.47
2016-04-19,147.44,149.2,146.64,149.2
2016-04-20,149.33,149.33,148.2,148.83
2016-04-21,148.77,149.43,147.92,148.32
2016-04-22,149.05,149.5,147.56,148.12
2016-04-25,147.3,148.03,146.67,147.96
2016-04-26,148.2,148.73,146.99,147.49
2016-04-27,147.59,148.785,146.02,148.31
2016-04-28,147.81,152.16,146.87,148.54
2016-04-29,147.59,148.65,145.44,145.89
2016-05-02,144.82,147.08,144.82,145.87
2016-05-03,145.01,145.01,141.99,143.14
2016-05-04,142.38,143.24,142.03,142.85
2016-05-05,143.54,144.38,142.72,143.25
2016-05-06,143.67,145.64,143.0,144.57
2016-05-09,144.42,144.99,142.31,142.61
2016-05-10,143.16,144.38,142.33,144.32
2016-05-11,144.27,144.71,142.34,142.42
2016-05-12,144.2,144.45,142.65,143.34
2016-05-13,143.0,143.65,141.21,141.83
2016-05-16,141.99,143.93,141.88,143.55
2016-05-17,143.5,144.28,142.22,142.88
2016-05-18,142.0,143.59,141.12,141.7
2016-05-19,142.63,142.63,140.4901,141.7
2016-05-20,142.54,142.86,141.09,141.44
2016-05-23,141.74,142.44,141.56,141.67
2016-05-24,141.92,143.58,141.57,143.3
2016-05-25,143.84,144.78,143.49,143.68
2016-05-26,144.0,144.2399,143.015,143.07
2016-05-27,143.23,143.53,142.85,143.06
2016-05-31,143.68,143.68,142.27,142.64
2016-06-01,142.16,144.155,141.25,144.0
2016-06-02,143.44,143.5,142.28,143.5
2016-06-03,143.39,143.5,142.27,143.25
2016-06-06,143.87,145.88,143.87,145.56
2016-06-07,145.4,145.94,145.02,145.25
2016-06-08,145.75,147.2,145.01,146.89
2016-06-09,145.87,146.85,145.1,146.6
2016-06-10,145.8,146.59,145.06,146.39
2016-06-13,145.95,146.36,143.9,144.03
2016-06-14,143.96,144.42,142.85,143.9
2016-06-15,144.76,145.76,143.53,143.65
2016-06-16,143.15,144.52,141.37,144.36
2016-06-17,144.46,144.52,142.7,143.31
2016-06-20,144.8,146.07,143.87,144.04
2016-06-21,144.26,144.46,142.54,143.15
2016-06-22,143.505,143.7799,142.85,143.5
2016-06-23,145.08,146.22,145.01,146.02
2016-06-24,141.02,142.73,139.27,140.12
2016-06-27,138.95,139.14,134.15,134.82
2016-06-28,136.09,136.8,134.34,136.72
2016-06-29,136.79,139.59,136.18,139.26
2016-06-30,139.58,142.09,138.83,142.04
2016-07-01,141.61,142.69,140.57,140.94
2016-07-05,140.02,140.64,137.88,138.49
2016-07-06,138.38,139.49,137.3101,139.36
2016-07-07,139.79,140.44,138.96,139.67
2016-07-08,140.97,144.72,140.4,144.35
2016-07-11,145.47,145.56,143.51,144.86
2016-07-12,145.53,147.88,145.33,147.7
2016-07-13,148.0,148.0,146.72,147.92
2016-07-14,148.43,149.65,148.045,148.9
2016-07-15,149.4,149.69,148.44,149.35
2016-07-18,149.36,149.68,148.65,149.19
2016-07-19,148.61,149.42,148.26,149.38
2016-07-20,149.23,150.0,149.0,149.35
2016-07-21,149.5,149.5,147.82,148.3
2016-07-22,148.49,148.88,147.81,148.63
2016-07-25,148.44,148.8,147.78,148.52
2016-07-26,148.2,150.55,148.2,149.85
2016-07-27,149.95,150.08,148.64,149.01
2016-07-28,151.49,152.69,148.48,148.99
2016-07-29,148.81,150.75,148.27,149.42
2016-08-01,147.75,149.36,147.12,149.15
2016-08-02,149.02,149.15,147.54,148.23
2016-08-03,148.75,148.75,147.79,148.21
2016-08-04,148.17,149.53,147.565,149.0
2016-08-05,149.49,150.0,148.72,149.21
2016-08-08,149.7,149.7,148.35,148.76
2016-08-09,148.84,149.28,148.49,149.1
2016-08-10,149.25,149.25,148.55,149.03
2016-08-11,149.59,149.87,148.65,149.05
2016-08-12,150.0,152.08,149.4,149.84
2016-08-15,150.17,151.73,150.01,151.52
2016-08-16,152.66,154.91,152.51,152.77
2016-08-17,152.85,154.05,151.61,153.72
2016-08-18,153.7,155.0,153.39,154.97
2016-08-19,154.15,155.94,153.69,155.68
2016-08-22,155.14,155.91,154.7001,155.48
2016-08-23,156.0,156.85,155.38,155.43
2016-08-24,155.19,155.79,154.73,155.21
