Date,open,high,low,adj_close
2016-01-04,142.07,142.35,139.88,142.28
2016-01-05,143.14,143.3,137.21,137.52
2016-01-06,134.57,136.06,132.28,133.29
2016-01-07,131.31,133.77,128.19,129.05
2016-01-08,130.03,133.46,128.06,128.2
2016-01-11,129.5,129.97,125.42,128.04
2016-01-12,129.86,131.67,126.855,129.92
2016-01-13,127.75,129.98,123.08,123.31
2016-01-14,124.19,126.6799,120.29,125.19
2016-01-15,120.21,123.79,119.3,119.97
2016-01-19,122.76,124.8,119.01,120.07
2016-01-20,117.83,125.58,117.17,123.83
2016-01-21,123.81,126.0,123.35,124.53
2016-01-22,126.48,126.48,124.23,124.51
2016-01-25,124.43,124.98,124.0,124.49
2016-01-26,125.0,126.5075,124.0,124.39
2016-01-27,123.65,125.41,120.09,122.35
2016-01-28,122.94,126.55,122.0,126.37
2016-01-29,129.44,134.34,128.11,133.71
2016-02-01,133.34,138.69,132.96,137.68
2016-02-02,136.45,137.59,131.7,133.24
2016-02-03,137.25,137.61,130.29,131.36
2016-02-04,131.4,137.27,130.5,136.12
2016-02-05,137.0,137.0,126.98,128.36
2016-02-08,126.99,126.99,119.22,121.86
2016-02-09,119.83,125.72,118.77,119.71
2016-02-10,122.49,123.67,118.65,119.2
2016-02-11,116.5,117.64,114.25,116.31
2016-02-12,117.76,122.33,115.73,121.66
2016-02-16,123.27,126.79,122.95,126.24
2016-02-17,127.0,130.82,126.73,130.68
2016-02-18,131.76,131.991,126.08,127.07
2016-02-19,127.05,128.79,125.0,128.67
2016-02-22,130.0,132.43,129.49,130.64
2016-02-23,130.16,130.5,128.06,128.16
2016-02-24,126.51,131.25,125.41,130.34
2016-02-25,130.78,132.49,128.69,132.47
2016-02-26,134.2,134.97,132.25,133.11
2016-02-29,133.34,137.92,132.9,133.97
2016-03-01,135.37,138.64,134.62,138.43
2016-03-02,137.85,138.24,135.05,136.97
2016-03-03,137.75,138.85,134.3,137.33
2016-03-04,146.0,147.86,141.72,146.06
2016-03-07,144.76,146.23,140.57,143.51
2016-03-08,142.29,142.82,139.41,139.63
2016-03-09,140.75,142.53,140.471,141.96
2016-03-10,143.46,145.8,142.0,144.42
2016-03-11,145.99,150.02,145.75,148.82
2016-03-14,147.11,149.19,147.0,148.14
2016-03-15,148.5,149.98,146.08,148.47
2016-03-16,147.46,149.27,146.85,148.63
2016-03-17,147.37,151.72,147.37,151.55
2016-03-18,151.94,153.0,150.87,152.49
2016-03-21,152.59,153.0,150.83,152.89
2016-03-22,152.4,155.61,151.55,154.76
2016-03-23,154.82,155.32,152.34,152.99
2016-03-24,151.76,153.29,151.12,153.0
2016-03-28,153.28,153.5,152.07,153.1
2016-03-29,153.27,154.93,152.18,154.13
2016-03-30,155.0,157.28,154.54,156.93
2016-03-31,157.02,157.37,154.45,154.5
2016-04-01,154.04,157.92,151.16,157.8
2016-04-04,158.0,158.328,155.66,156.01
2016-04-05,154.45,157.05,154.45,155.03
2016-04-06,154.7,157.77,153.71,157.54
2016-04-07,157.48,157.95,154.69,154.97
2016-04-08,156.32,156.9,154.64,156.15
2016-04-11,157.43,157.8,155.6,155.61
2016-04-12,156.01,156.37,153.0,155.43
2016-04-13,156.47,159.65,155.6101,159.48
2016-04-14,157.29,159.11,156.0,158.82
2016-04-15,158.13,158.34,154.52,155.49
2016-04-18,155.35,156.4,153.81,155.9
2016-04-19,156.45,156.7658,150.7894,151.07
2016-04-20,151.46,154.0999,150.4007,153.23
2016-04-21,152.9,153.28,150.4458,151.35
2016-04-22,150.4,152.94,148.73,150.33
2016-04-25,150.25,150.86,148.77,149.1
2016-04-26,151.49,154.11,150.04,150.76
2016-04-27,147.21,153.36,146.5,151.53
2016-04-28,150.39,154.02,147.33,147.99
2016-04-29,146.31,147.79,143.25,145.75
2016-05-02,146.16,146.83,144.495,146.08
2016-05-03,145.1,145.99,142.33,143.2
2016-05-04,142.51,144.42,141.27,142.07
2016-05-05,143.82,144.9,142.09,142.58
2016-05-06,141.76,142.5005,139.18,141.89
2016-05-09,142.0,143.92,141.26,142.4
2016-05-10,142.5,145.14,141.5,144.61
2016-05-11,144.09,146.22,143.51,143.85
2016-05-12,144.07,144.73,139.52,141.04
2016-05-13,140.94,143.13,139.62,140.05
2016-05-16,140.87,143.62,140.69,142.65
2016-05-17,142.51,142.99,139.88,141.17
2016-05-18,140.53,145.05,140.33,143.88
2016-05-19,143.03,144.66,141.12,142.74
2016-05-20,144.13,147.67,143.71,146.73
2016-05-23,148.19,150.335,147.88,148.1
2016-05-24,148.6,151.68,148.35,151.42
2016-05-25,151.84,154.0,150.49,153.57
2016-05-26,153.77,154.25,151.82,153.02
2016-05-27,153.0,153.93,152.46,153.3
2016-05-31,154.0,154.95,153.3,154.36
2016-06-01,153.41,155.32,153.34,154.77
2016-06-02,155.21,155.52,153.387,154.91
2016-06-03,165.77,166.0,161.2,162.56
2016-06-06,163.4,163.94,161.02,162.84
2016-06-07,163.34,165.95,162.81,164.84
2016-06-08,164.09,164.62,163.34,163.7
2016-06-09,162.14,165.05,162.12,164.14
2016-06-10,162.17,162.98,160.0,160.82
2016-06-13,160.14,162.25,159.635,160.01
2016-06-14,159.27,160.5299,158.13,158.99
2016-06-15,158.82,160.12,158.18,158.4
2016-06-16,157.05,158.84,155.6,158.63
2016-06-17,158.97,159.75,154.93,156.0
2016-06-20,158.4,159.6,156.69,156.93
2016-06-21,157.61,158.4,155.61,155.81
2016-06-22,155.73,157.17,154.8,155.14
2016-06-23,157.35,158.63,155.97,158.62
2016-06-24,152.0,154.87,148.4,148.72
2016-06-27,146.5,147.25,142.27,143.63
2016-06-28,146.7,149.93,146.58,149.77
2016-06-29,152.01,155.65,150.78,155.0
2016-06-30,155.0,157.239,154.17,155.4
2016-07-01,154.47,155.87,153.62,154.22
2016-07-05,151.58,151.71,149.53,150.76
2016-07-06,149.36,151.27,147.16,150.63
2016-07-07,150.14,153.0,150.14,150.99
2016-07-08,152.65,155.251,151.935,155.14
