Date,open,high,low,adj_close
2016-01-04,141.49,141.7,139.43,140.5
2016-01-05,140.99,141.7,139.77,141.07
2016-01-06,138.83,139.35,137.26,138.83
2016-01-07,136.38,136.67,132.51,133.01
2016-01-08,133.7,135.1,129.8,129.99
2016-01-11,130.74,131.0,128.92,130.21
2016-01-12,131.58,132.17,129.64,131.92
2016-01-13,132.5,132.88,127.75,128.12
2016-01-14,129.59,130.07,125.814,129.2
2016-01-15,125.8,127.135,124.51,125.63
2016-01-19,127.05,127.22,125.11,126.06
2016-01-20,124.05,124.94,119.82,122.14
2016-01-21,122.65,125.98,121.54,123.4
2016-01-22,124.42,125.68,123.32,124.61
2016-01-25,124.59,125.24,123.4,124.01
2016-01-26,124.95,128.15,124.5,128.01
2016-01-27,119.9,120.11,115.02,116.58
2016-01-28,117.1,118.03,115.06,118.01
2016-01-29,118.14,120.18,118.02,120.13
2016-02-01,119.63,122.29,118.65,121.56
2016-02-02,119.69,120.28,117.37,117.52
2016-02-03,118.8,122.13,117.15,121.87
2016-02-04,121.12,124.91,121.12,123.61
2016-02-05,123.63,124.17,121.03,122.56
2016-02-08,120.67,121.33,117.25,119.47
2016-02-09,117.98,119.98,117.425,118.88
2016-02-10,118.16,119.46,116.27,116.36
2016-02-11,113.18,113.4,102.1,108.44
2016-02-12,105.12,109.84,105.0,108.63
2016-02-16,109.73,112.76,109.0,112.6
2016-02-17,114.04,116.83,113.99,116.34
2016-02-18,116.94,118.23,116.68,117.57
2016-02-19,117.31,117.33,114.42,115.16
2016-02-22,116.55,118.97,116.03,117.39
2016-02-23,116.97,118.5,115.93,116.9
2016-02-24,115.37,115.96,112.51,115.59
2016-02-25,116.29,117.6,115.78,116.82
2016-02-26,117.75,119.45,117.5,118.16
2016-02-29,118.12,119.465,117.5,118.18
2016-03-01,119.01,120.9876,118.25,119.96
2016-03-02,119.7,120.75,118.5,119.65
2016-03-03,118.84,119.73,118.25,119.61
2016-03-04,120.17,122.23,119.85,121.07
2016-03-07,120.8,123.32,120.57,122.9
2016-03-08,122.0,122.97,121.31,122.35
2016-03-09,122.38,123.26,122.03,122.86
2016-03-10,123.14,123.823,121.43,122.94
2016-03-11,124.13,125.5,123.86,124.63
2016-03-14,123.93,127.0,123.86,126.34
2016-03-15,125.55,126.37,124.21,126.36
2016-03-16,126.24,128.13,125.75,127.57
2016-03-17,128.04,131.6,127.42,130.7
2016-03-18,131.24,134.68,131.01,133.96
2016-03-21,133.5,136.78,133.39,135.86
2016-03-22,135.14,136.1,134.78,135.12
2016-03-23,134.99,135.0,132.74,132.86
2016-03-24,131.63,132.23,130.03,132.12
2016-03-28,132.51,132.6197,130.551,131.29
2016-03-29,129.83,130.93,128.18,130.88
2016-03-30,131.48,132.73,128.02,128.58
2016-03-31,128.08,128.38,125.25,126.94
2016-04-01,126.1,127.09,125.11,126.96
2016-04-04,126.54,127.9725,125.88,126.34
2016-04-05,126.15,128.59,125.58,127.03
2016-04-06,127.16,128.04,125.75,127.93
2016-04-07,127.0,128.94,126.56,127.0
2016-04-08,128.04,130.02,127.61,127.88
2016-04-11,128.25,129.9,127.68,127.91
2016-04-12,127.62,130.38,126.68,129.47
2016-04-13,130.5,131.5,129.81,131.14
2016-04-14,131.5,131.9499,130.53,130.85
2016-04-15,130.95,131.5999,130.68,131.13
2016-04-18,130.64,132.25,130.32,131.97
2016-04-19,132.54,133.85,132.21,132.68
2016-04-20,128.55,131.36,128.49,130.57
2016-04-21,130.98,132.64,130.3,130.74
2016-04-22,131.09,131.83,130.5,131.05
2016-04-25,130.45,131.0,129.31,130.75
2016-04-26,131.25,133.27,131.06,133.24
2016-04-27,133.2,137.89,131.945,137.08
2016-04-28,136.29,137.72,134.5,134.8
2016-04-29,134.42,135.23,132.81,134.8
2016-05-02,134.38,135.0,133.2283,134.01
2016-05-03,132.7,133.31,131.46,132.49
2016-05-04,131.59,132.31,130.53,130.89
2016-05-05,131.73,132.64,131.12,132.08
2016-05-06,132.11,133.63,131.76,133.26
2016-05-09,132.8,133.81,131.82,132.1
2016-05-10,133.18,135.24,132.7913,134.72
2016-05-11,133.81,134.99,132.94,133.0
2016-05-12,133.49,135.04,133.49,134.42
2016-05-13,133.74,134.94,131.91,132.12
2016-05-16,131.63,134.41,131.55,134.14
2016-05-17,133.62,134.49,131.96,132.56
2016-05-18,132.29,133.18,130.3421,130.99
