Date,open,high,low,adj_close
2016-01-04,63.95,64.06,63.01,63.62
2016-01-05,63.69,64.13,63.04,63.73
2016-01-06,62.7,63.125,62.34,62.81
2016-01-07,61.46,62.0,60.08,60.27
2016-01-08,61.13,61.27,58.85,58.92
2016-01-11,58.84,59.22,58.04,58.83
2016-01-12,59.45,59.56,58.1,58.96
2016-01-13,59.46,59.675,56.91,57.34
2016-01-14,58.16,59.38,57.29,58.2
2016-01-15,56.47,57.57,56.22,57.04
2016-01-19,57.73,57.97,56.51,57.01
2016-01-20,55.63,56.18,54.66,55.51
2016-01-21,55.74,56.52,55.06,55.25
2016-01-22,56.44,57.16,56.3,56.95
2016-01-25,56.48,56.85,55.6,55.66
2016-01-26,55.85,57.15,55.81,57.08
2016-01-27,57.1,58.2699,56.56,57.04
2016-01-28,57.52,57.97,56.63,57.28
2016-01-29,57.86,59.54,57.51,59.5
2016-02-01,59.16,59.65,58.44,58.86
2016-02-02,57.88,57.98,56.75,57.03
2016-02-03,57.37,57.795,55.015,57.41
2016-02-04,57.06,58.52,57.06,58.4
2016-02-05,58.59,59.14,57.42,57.75
2016-02-08,56.69,56.92,55.535,56.54
2016-02-09,55.29,56.69,55.13,56.2
2016-02-10,56.57,57.41,55.47,55.52
2016-02-11,53.91,53.91,52.5,53.07
2016-02-12,55.69,57.57,55.17,57.49
2016-02-16,58.23,58.6,57.64,58.35
2016-02-17,58.85,59.25,58.3947,58.77
2016-02-18,58.84,58.86,57.25,57.81
2016-02-19,57.45,58.17,57.075,57.82
2016-02-22,58.51,58.88,58.42,58.57
2016-02-23,57.9,58.09,55.96,56.12
2016-02-24,55.2,56.21,54.325,56.14
2016-02-25,56.13,57.03,56.04,57.01
2016-02-26,57.64,58.11,57.14,57.54
2016-02-29,57.41,57.605,56.29,56.3
2016-03-01,56.76,59.2,56.67,59.2
2016-03-02,59.2,59.9,58.96,59.76
2016-03-03,59.57,59.96,59.103,59.96
2016-03-04,60.06,60.55,59.531,60.05
2016-03-07,59.54,60.05,59.32,59.94
2016-03-08,59.21,59.5,58.68,58.78
2016-03-09,59.16,59.54,58.68,59.12
2016-03-10,59.59,59.67,57.81,58.61
2016-03-11,59.39,59.51,58.65,59.34
2016-03-14,59.15,59.31,58.6,59.12
2016-03-15,58.53,59.21,58.43,59.2
2016-03-16,58.983,59.75,58.47,58.92
2016-03-17,58.77,59.13,57.99,58.75
2016-03-18,60.05,60.97,59.66,60.48
2016-03-21,60.22,60.819,59.9625,60.46
2016-03-22,59.99,60.58,59.62,60.24
2016-03-23,60.34,60.51,59.86,59.94
2016-03-24,59.3,59.51,58.87,59.48
2016-03-28,59.53,59.75,59.18,59.4
2016-03-29,59.33,59.33,58.53,59.03
2016-03-30,59.46,60.2272,59.38,59.71
2016-03-31,59.45,59.93,59.11,59.22
2016-04-01,59.05,60.06,58.56,59.87
2016-04-04,59.46,59.565,58.96,59.2
2016-04-05,58.59,58.83,58.21,58.36
2016-04-06,58.18,58.88,57.95,58.81
2016-04-07,58.26,58.43,57.065,57.32
2016-04-08,57.71,58.58,57.69,57.74
2016-04-11,57.93,58.88,57.91,58.2
2016-04-12,58.34,59.39,58.2,59.28
2016-04-13,60.48,62.16,60.38,61.79
2016-04-14,61.69,62.905,61.605,62.59
2016-04-15,62.88,62.9,61.45,61.87
2016-04-18,61.64,62.58,61.53,62.27
2016-04-19,62.55,63.48,62.55,63.32
2016-04-20,63.48,64.31,63.145,64.24
2016-04-21,64.26,64.66,63.34,63.6
2016-04-22,63.64,64.38,63.64,63.97
2016-04-25,63.6,63.95,63.145,63.6
2016-04-26,63.82,64.07,63.33,63.93
2016-04-27,63.84,64.64,63.6,64.11
2016-04-28,63.64,64.415,63.35,63.6
2016-04-29,63.09,63.61,62.7,63.2
2016-05-02,63.69,64.0,63.14,63.79
2016-05-03,62.9,62.91,61.8,62.56
2016-05-04,61.75,62.26,61.27,61.57
2016-05-05,61.6,61.995,61.06,61.24
2016-05-06,60.73,61.68,60.59,61.6
2016-05-09,61.37,61.89,61.05,61.21
2016-05-10,61.55,62.26,61.35,62.04
2016-05-11,61.97,62.6,61.81,61.81
2016-05-12,62.27,62.56,61.37,61.77
2016-05-13,61.74,62.4001,61.02,61.2
2016-05-16,61.21,61.985,61.0,61.66
2016-05-17,61.43,62.16,61.15,61.66
2016-05-18,61.7,64.17,61.69,64.04
2016-05-19,63.53,64.22,62.9,63.39
2016-05-20,63.86,64.19,63.37,63.51
2016-05-23,63.47,63.87,63.16,63.46
2016-05-24,63.94,64.77,63.81,64.54
2016-05-25,64.94,66.2,64.92,65.52
2016-05-26,65.57,65.58,64.91,65.03
2016-05-27,65.21,65.46,65.05,65.43
2016-05-31,65.73,65.82,64.96,65.27
2016-06-01,64.76,65.92,64.26,65.69
2016-06-02,65.52,65.81,65.16,65.81
2016-06-03,64.25,64.86,63.55,64.64
2016-06-06,64.64,65.76,64.6,65.28
2016-06-07,65.45,65.74,65.04,65.06
2016-06-08,64.93,65.48,64.92,65.25
2016-06-09,64.79,64.9,64.27,64.75
2016-06-10,63.93,64.07,63.58,63.84
2016-06-13,63.48,64.34,63.26,63.27
2016-06-14,62.68,63.47,61.6802,62.08
2016-06-15,62.41,62.975,61.91,61.97
2016-06-16,61.45,62.3,60.9,62.22
2016-06-17,62.3,62.71,61.93,62.28
2016-06-20,63.45,63.85,62.34,62.37
2016-06-21,62.73,63.0,62.14,62.95
2016-06-22,62.98,63.71,62.68,62.71
2016-06-23,63.7,64.15,63.53,64.05
2016-06-24,60.48,61.7,59.34,59.6
2016-06-27,58.71,58.75,57.05,57.61
2016-06-28,59.19,59.55,58.26,59.52
2016-06-29,60.36,61.21,60.0,61.2
2016-06-30,61.66,62.19,61.02,62.14
2016-07-01,61.52,62.0115,61.16,61.26
2016-07-05,60.45,60.6,59.1,59.55
2016-07-06,59.01,60.29,58.76,60.19
2016-07-07,60.52,61.14,60.16,60.58
2016-07-08,61.33,62.17,61.33,61.83
2016-07-11,62.42,62.95,62.14,62.27
2016-07-12,63.03,63.56,62.89,63.2
2016-07-13,63.08,63.43,62.64,63.16
2016-07-14,64.74,64.98,64.05,64.12
2016-07-15,64.75,64.8,63.61,64.18
2016-07-18,64.13,64.4,63.9,63.96
2016-07-19,63.61,64.1,63.46,63.86
2016-07-20,64.11,64.229,63.71,63.93
2016-07-21,64.0,64.18,63.63,63.69
2016-07-22,63.9,64.09,63.6,64.04
2016-07-25,63.97,64.17,63.675,63.87
2016-07-26,64.0,64.26,63.71,64.13
2016-07-27,64.08,64.685,64.06,64.33
2016-07-28,64.0,64.19,63.72,64.1
2016-07-29,63.8,64.29,63.75,63.97
2016-08-01,64.15,64.31,63.61,63.8
2016-08-02,63.59,64.01,63.38,63.65
2016-08-03,63.69,64.67,63.65,64.66
2016-08-04,64.5,64.815,64.27,64.56
2016-08-05,65.07,66.37,65.07,66.3
2016-08-08,66.07,66.485,65.84,66.1
2016-08-09,66.14,66.28,65.69,65.87
2016-08-10,65.92,66.07,65.16,65.28
2016-08-11,65.28,65.69,65.02,65.46
2016-08-12,64.97,65.35,64.86,65.32
2016-08-15,65.56,65.83,65.46,65.72
2016-08-16,65.36,65.96,65.24,65.71
