Date,open,high,low,adj_close
2016-01-04,102.87,103.65,102.34,103.57
2016-01-05,103.6,104.935,102.2,104.58
2016-01-06,103.81,104.67,103.5,104.24
2016-01-07,103.03,105.06,103.03,104.7
2016-01-08,104.87,105.9,104.75,105.17
2016-01-11,105.44,106.6,105.11,105.58
2016-01-12,105.71,106.08,104.34,105.38
2016-01-13,105.68,105.89,103.74,104.62
2016-01-14,105.0,106.77,104.375,105.69
2016-01-15,105.44,105.89,104.08,105.26
2016-01-19,105.46,108.24,105.13,107.81
2016-01-20,107.54,107.54,103.35,105.31
2016-01-21,105.43,105.78,103.86,105.04
2016-01-22,105.8,106.68,105.01,106.6
2016-01-25,106.72,107.025,105.47,106.42
2016-01-26,106.42,107.73,105.86,106.56
2016-01-27,106.88,107.8,106.21,106.73
2016-01-28,105.755,108.77,105.53,108.3
2016-01-29,109.39,111.86,108.8,111.71
2016-02-01,111.23,113.44,110.79,112.98
2016-02-02,112.05,114.07,112.0,113.91
2016-02-03,114.18,115.51,113.68,114.75
2016-02-04,113.92,114.96,112.5501,113.52
2016-02-05,113.3,114.135,112.22,113.61
2016-02-08,113.64,114.61,112.795,114.17
2016-02-09,114.01,115.95,113.65,115.35
2016-02-10,112.62,114.12,111.41,113.74
2016-02-11,113.03,113.9599,111.88,111.9
2016-02-12,112.12,112.33,110.6,111.67
2016-02-16,112.45,112.96,111.21,112.35
2016-02-17,112.26,112.27,111.265,111.43
2016-02-18,111.84,114.78,111.69,114.33
2016-02-19,114.5,115.45,113.6,114.75
2016-02-22,115.1,116.53,114.75,115.7
2016-02-23,115.33,116.54,114.85,116.12
2016-02-24,114.66,116.11,114.46,116.0
2016-02-25,115.84,116.98,115.12,115.84
2016-02-26,115.3,115.81,112.19,112.52
2016-02-29,112.37,113.94,112.05,112.82
2016-03-01,113.43,113.718,111.96,112.6
2016-03-02,112.0,112.86,109.34,112.36
2016-03-03,112.32,112.54,109.96,111.62
2016-03-04,111.21,114.54,110.65,114.29
2016-03-07,114.25,114.73,113.485,114.45
2016-03-08,114.5,115.7,114.17,115.45
2016-03-09,115.34,116.41,115.34,116.26
2016-03-10,116.9,116.97,114.53,115.69
2016-03-11,116.28,116.38,115.37,115.82
2016-03-14,116.23,116.77,115.28,115.84
2016-03-15,115.85,116.6699,115.295,115.6
2016-03-16,115.54,117.521,114.441,117.12
2016-03-17,117.18,118.55,116.51,118.33
2016-03-18,118.74,118.88,117.57,118.5
2016-03-21,117.88,118.39,116.61,117.57
2016-03-22,117.41,118.16,116.72,117.04
2016-03-23,117.04,118.1,116.42,117.69
2016-03-24,117.49,118.62,117.28,118.48
2016-03-28,118.35,118.9,117.36,117.58
2016-03-29,117.95,119.13,117.18,119.01
2016-03-30,118.79,119.37,118.1,118.5
2016-03-31,118.24,118.8,117.85,118.34
2016-04-01,118.09,118.99,117.46,118.71
2016-04-04,119.03,119.18,117.94,118.72
2016-04-05,118.3,118.895,116.15,116.35
2016-04-06,116.5,116.74,115.584,116.71
2016-04-07,116.37,117.31,115.99,116.19
2016-04-08,115.99,117.44,115.99,116.81
2016-04-11,117.06,117.63,116.03,116.23
2016-04-12,116.48,117.26,116.07,117.05
2016-04-13,117.53,117.59,115.76,116.48
2016-04-14,116.17,116.93,115.0,116.15
2016-04-15,116.5,117.5975,116.1529,117.43
2016-04-18,117.2,117.77,116.47,117.77
2016-04-19,118.08,118.4,117.22,118.1
2016-04-20,118.24,118.32,115.435,115.51
2016-04-21,115.25,115.25,112.44,112.91
2016-04-22,113.45,114.53,113.235,114.44
2016-04-25,114.31,114.47,113.85,114.47
2016-04-26,114.72,115.64,114.2,115.52
2016-04-27,115.68,118.02,115.4,116.89
2016-04-28,115.8,117.73,115.13,116.47
2016-04-29,116.21,117.75,115.15,117.58
2016-05-02,117.4,118.76,117.28,118.06
2016-05-03,118.325,118.95,117.44,118.42
2016-05-04,118.02,120.44,117.74,119.46
2016-05-05,119.42,120.44,117.96,118.85
2016-05-06,119.06,119.1,117.5,118.49
2016-05-09,118.64,119.09,118.13,118.89
2016-05-10,119.28,119.99,118.91,119.6
2016-05-11,119.6,120.35,118.5,119.69
2016-05-12,119.72,121.39,119.27,121.15
2016-05-13,120.91,121.33,119.7,120.76
2016-05-16,120.34,121.51,119.81,121.48
2016-05-17,121.1,121.29,118.94,119.78
2016-05-18,119.19,120.81,117.41,118.02
2016-05-19,117.13,118.45,116.5,118.41
2016-05-20,118.6,119.38,117.87,119.33
2016-05-23,119.45,119.5,117.87,117.99
2016-05-24,118.25,120.065,118.08,119.89
2016-05-25,119.6,119.97,118.86,119.1
2016-05-26,118.21,119.9,118.195,119.82
2016-05-27,119.9,120.09,119.21,119.84
2016-05-31,119.84,120.87,119.45,120.12
2016-06-01,120.12,120.83,119.61,120.15
2016-06-02,119.83,120.2,118.7,119.81
2016-06-03,120.85,122.37,120.64,121.8
2016-06-06,122.08,122.7,121.17,121.75
2016-06-07,122.03,122.48,121.07,121.11
2016-06-08,120.94,122.99,120.825,122.92
2016-06-09,123.0,124.14,122.87,123.98
2016-06-10,124.0,124.85,123.12,123.83
2016-06-13,123.87,124.34,123.36,123.59
2016-06-14,123.72,125.02,122.88,124.98
2016-06-15,124.18,124.685,123.31,123.84
2016-06-16,124.17,125.07,123.84,124.85
2016-06-17,125.23,125.23,123.7301,125.1
2016-06-20,124.9,125.1,123.21,124.24
2016-06-21,124.54,124.965,123.57,124.27
2016-06-22,124.4,124.53,123.49,123.64
2016-06-23,123.64,123.81,122.965,123.81
2016-06-24,122.13,125.09,121.25,123.8
2016-06-27,124.238,128.22,123.85,127.88
2016-06-28,127.53,128.56,126.29,128.46
2016-06-29,128.84,129.285,127.29,127.75
2016-06-30,127.97,130.43,127.39,130.4
2016-07-01,131.27,131.27,128.58,129.73
2016-07-05,129.72,131.325,129.515,130.87
2016-07-06,130.67,131.98,129.47,130.89
2016-07-07,130.5,130.81,127.97,128.33
2016-07-08,128.09,129.98,126.66,129.93
2016-07-11,129.41,129.74,128.09,129.69
2016-07-12,129.05,129.985,127.26,127.33
2016-07-13,127.87,128.55,127.41,128.17
2016-07-14,127.28,128.1,126.54,127.24
2016-07-15,127.78,128.29,127.09,127.58
2016-07-18,127.74,128.67,127.59,128.25
2016-07-19,127.91,128.31,127.25,128.09
2016-07-20,128.34,128.65,127.15,127.21
2016-07-21,127.0,128.46,126.39,128.26
2016-07-22,128.01,130.149,127.75,129.81
2016-07-25,129.3,129.8,128.63,129.49
2016-07-26,129.39,129.61,128.0,128.43
2016-07-27,128.39,128.69,125.55,127.17
2016-07-28,126.88,128.1,126.551,127.42
2016-07-29,127.27,128.51,127.27,128.29
2016-08-01,128.2,128.81,127.9,128.5
2016-08-02,127.62,128.32,126.84,127.63
2016-08-03,127.59,128.46,127.06,128.09
2016-08-04,127.84,128.39,127.05,127.45
2016-08-05,126.775,127.16,125.31,125.99
2016-08-08,126.24,127.01,125.58,125.99
2016-08-09,126.02,126.61,125.65,126.07
2016-08-10,126.19,126.535,125.66,126.37
2016-08-11,126.37,127.09,126.1,127.02
2016-08-12,127.3,127.71,126.73,126.79
2016-08-15,127.12,127.3,125.28,125.32
2016-08-16,125.21,125.21,123.99,123.99
2016-08-17,123.98,126.0,123.01,125.8
2016-08-18,125.3,127.04,125.3,126.96
2016-08-19,126.56,126.56,124.4,125.08
2016-08-22,125.45,125.7,124.73,125.04
2016-08-23,125.32,125.73,124.215,124.27
2016-08-24,123.85,124.48,123.46,124.15
2016-08-25,124.34,124.851,124.04,124.51
2016-08-26,123.94,124.93,121.49,121.62
2016-08-29,121.87,123.1873,121.61,122.34
2016-08-30,122.35,122.94,121.05,121.22
2016-08-31,121.22,121.6688,120.62,120.94
2016-09-01,120.75,121.24,120.22,121.0
2016-09-02,122.01,123.69,121.31,123.13
2016-09-06,123.75,125.29,123.56,125.29
2016-09-07,126.96,126.96,124.42,125.06
2016-09-08,124.27,125.77,124.27,125.38
2016-09-09,124.35,124.55,120.75,120.86
