Date,open,high,low,adj_close
2016-01-04,230.72,231.38,219.0,223.41
2016-01-05,226.36,226.89,220.0,223.43
2016-01-06,220.0,220.05,215.98,219.04
2016-01-07,214.19,218.44,213.67,215.65
2016-01-08,217.86,220.44,210.77,211.0
2016-01-11,214.01,214.45,203.0,207.85
2016-01-12,211.6,213.7395,205.31,209.97
2016-01-13,212.01,212.65,200.0,200.31
2016-01-14,202.21,210.0,193.38,206.18
2016-01-15,198.97,205.07,197.25,204.99
2016-01-19,208.71,210.47,200.78,204.72
2016-01-20,199.4,201.28,191.25,198.7
2016-01-21,201.55,203.23,195.02,199.97
2016-01-22,204.8005,205.5,199.03,202.55
2016-01-25,200.06,203.57,195.88,196.38
2016-01-26,196.7,197.82,188.88,193.56
2016-01-27,192.38,193.26,185.77,188.07
2016-01-28,190.79,191.28,182.41,189.7
2016-01-29,189.95,193.74,188.08,191.2
2016-02-01,188.76,199.52,182.75,196.94
2016-02-02,192.42,193.12,180.23,182.78
2016-02-03,183.59,183.94,170.18,173.48
2016-02-04,170.7,175.98,166.99,175.33
2016-02-05,171.3,173.0,157.7442,162.6
2016-02-08,157.105,157.15,146.0,147.99
2016-02-09,142.32,159.79,141.05,148.25
2016-02-10,150.5,154.97,141.74,143.67
2016-02-11,152.0,163.26,147.0,150.47
2016-02-12,155.0,157.01,143.7,151.04
2016-02-16,158.7,162.95,154.11,155.17
2016-02-17,159.0,169.34,156.68,168.68
2016-02-18,172.42,172.95,164.77,166.77
2016-02-19,163.66,167.49,162.5,166.58
2016-02-22,170.12,178.91,169.85,177.74
2016-02-23,176.16,181.73,173.68,177.21
2016-02-24,172.75,179.5,167.84,179.0
2016-02-25,178.65,188.5192,175.2,187.43
2016-02-26,188.7,192.0,185.0,190.34
2016-02-29,192.4,196.35,189.222,191.93
2016-03-01,194.25,195.9484,182.7,186.35
2016-03-02,183.73,188.52,181.5,188.34
2016-03-03,188.28,197.42,184.22,195.74
2016-03-04,198.0,204.03,197.5001,201.04
2016-03-07,197.68,209.7,197.4,205.29
2016-03-08,203.5,207.5,202.2,202.6
2016-03-09,204.52,209.3726,202.79,208.72
2016-03-10,210.0,213.29,200.671,205.18
2016-03-11,207.93,209.42,205.33,207.5
2016-03-14,212.65,216.72,210.64,215.15
2016-03-15,214.27,218.97,211.5,218.34
2016-03-16,218.0,222.58,217.02,221.93
2016-03-17,221.47,228.5,220.0,226.38
2016-03-18,229.1,234.48,228.06,232.74
2016-03-21,235.34,239.88,235.0,238.32
2016-03-22,237.21,238.99,232.558,234.24
2016-03-23,232.37,234.73,222.03,222.58
2016-03-24,215.78,228.8877,215.0,227.75
2016-03-28,231.61,234.81,225.0,230.26
2016-03-29,229.89,232.38,225.33,230.13
2016-03-30,235.09,235.5,226.5,226.89
2016-03-31,229.34,237.42,225.01,229.77
2016-04-01,244.825,247.9,233.25,237.59
2016-04-04,249.12,252.12,243.64,246.99
2016-04-05,240.5,256.56,240.0,255.47
2016-04-06,253.97,267.74,253.45,265.42
2016-04-07,266.45,269.34,254.51,257.2
2016-04-08,260.5,260.82,248.0201,250.07
2016-04-11,251.0,258.99,245.3,249.92
2016-04-12,249.5,251.8,243.63,247.82
2016-04-13,248.51,255.5,247.33,254.53
2016-04-14,253.0,256.839,251.0501,251.86
2016-04-15,251.31,254.6,249.12,254.51
2016-04-18,252.23,258.31,251.66,253.88
2016-04-19,253.12,254.3699,241.251,247.37
2016-04-20,246.26,253.66,241.5,249.97
2016-04-21,248.99,250.9,246.91,248.29
2016-04-22,248.89,254.0,245.71,253.75
2016-04-25,253.01,257.38,250.76,251.82
2016-04-26,252.05,255.73,249.39,253.74
2016-04-27,252.75,255.0,249.4,251.47
2016-04-28,249.85,253.43,247.44,247.71
2016-04-29,248.14,248.43,237.81,240.76
2016-05-02,241.5,243.19,234.82,241.8
2016-05-03,237.36,238.91,231.62,232.32
2016-05-04,230.29,234.46,220.4,222.56
2016-05-05,228.46,228.64,209.79,211.53
2016-05-06,210.87,216.37,208.11,214.93
2016-05-09,215.72,216.15,206.8,208.92
2016-05-10,207.55,209.47,205.0,208.69
2016-05-11,207.59,215.48,206.05,208.96
2016-05-12,211.44,211.67,203.6572,207.28
2016-05-13,207.78,211.2,206.7,207.61
2016-05-16,208.15,213.15,207.92,208.29
2016-05-17,209.05,209.8199,204.02,204.66
2016-05-18,209.15,215.31,207.75,211.17
2016-05-19,213.62,216.79,207.3,215.21
2016-05-20,216.99,220.55,216.35,220.28
2016-05-23,219.87,222.6,215.86,216.22
2016-05-24,216.6,218.74,215.18,217.91
2016-05-25,217.91,221.36,216.51,219.58
2016-05-26,220.5,225.26,219.05,225.12
2016-05-27,224.99,225.93,220.75,223.04
2016-05-31,223.04,224.7497,221.5001,223.23
2016-06-01,221.48,222.4,216.89,219.56
2016-06-02,219.59,219.909,217.11,218.96
2016-06-03,220.0,221.94,218.01,218.99
2016-06-06,218.0,220.9,215.45,220.68
2016-06-07,222.24,234.44,221.52,232.34
2016-06-08,233.8,240.845,232.605,235.52
2016-06-09,234.98,235.33,227.06,229.36
2016-06-10,227.39,227.97,218.4217,218.79
2016-06-13,219.5,225.77,217.66,217.87
2016-06-14,218.88,222.2,212.53,214.96
2016-06-15,216.95,221.9,215.13,217.7
2016-06-16,217.42,218.04,213.5,217.93
2016-06-17,217.81,219.99,214.5,215.47
2016-06-20,219.5,223.75,218.23,219.7
2016-06-21,220.68,222.569,218.81,219.61
2016-06-22,199.47,205.95,195.75,196.66
2016-06-23,195.69,197.55,192.13,196.4
2016-06-24,190.05,195.12,189.73,193.15
2016-06-27,190.86,198.81,187.87,198.55
2016-06-28,201.89,204.05,199.41,201.79
2016-06-29,205.13,211.78,203.0,210.19
2016-06-30,212.97,213.4999,209.02,212.28
2016-07-01,206.14,218.24,206.0,216.5
2016-07-05,209.73,214.5441,208.0,213.98
2016-07-06,210.0,215.23,209.0,214.44
2016-07-07,213.1,218.12,213.01,215.94
2016-07-08,217.8,219.81,214.5,216.78
2016-07-11,219.96,226.78,219.51,224.78
2016-07-12,224.1,227.5,223.22,224.65
2016-07-13,225.5,225.59,220.29,222.53
2016-07-14,223.12,224.94,221.05,221.53
2016-07-15,222.52,222.7499,219.64,220.4
2016-07-18,219.64,227.09,218.3,226.25
