Date,open,high,low,adj_close
2016-01-04,102.58,102.95,101.58,102.74
2016-01-05,102.9,103.18,102.3,102.97
2016-01-06,101.53,102.23,100.95,101.59
2016-01-07,99.9,100.8,98.87,99.09
2016-01-08,99.61,99.99,97.78,97.97
2016-01-11,98.55,98.6699,96.78,97.91
2016-01-12,98.8,99.169,97.28,98.58
2016-01-13,99.0,99.2,95.78,96.04
2016-01-14,96.36,98.18,95.3301,97.51
2016-01-15,95.02,95.8757,94.2214,95.46
2016-01-19,96.57,96.67,94.5,95.36
2016-01-20,93.99,95.27,91.79,94.42
2016-01-21,94.7,95.9641,93.82,94.79
2016-01-22,96.33,96.89,95.95,96.81
2016-01-25,96.64,96.65,95.11,95.22
2016-01-26,95.6,96.82,95.44,96.67
2016-01-27,96.4,97.32,95.05,95.57
2016-01-28,96.56,96.66,95.05,95.95
2016-01-29,96.41,98.36,96.3527,98.33
2016-02-01,97.75,98.81,97.37,98.35
2016-02-02,97.5,97.55,96.16,96.45
2016-02-03,97.09,97.2889,94.89,97.03
2016-02-04,96.79,97.92,96.47,97.26
2016-02-05,96.94,96.9999,94.95,95.26
2016-02-08,94.2,94.38,92.5,93.78
2016-02-09,92.84,94.47,92.7,93.66
2016-02-10,94.19,95.27,93.6248,93.72
2016-02-11,92.39,93.0623,91.58,92.56
2016-02-12,93.48,94.38,93.01,94.36
2016-02-16,95.6,96.09,94.96,96.08
2016-02-17,96.76,97.93,96.59,97.67
2016-02-18,97.87,97.92,97.09,97.28
2016-02-19,96.85,97.36,96.4301,97.3
2016-02-22,98.24,98.8,98.11,98.72
2016-02-23,98.32,98.52,97.47,97.53
2016-02-24,96.58,98.14,95.99,98.03
2016-02-25,98.27,99.19,97.82,99.19
2016-02-26,99.67,99.76,98.96,99.11
2016-02-29,99.12,99.6901,98.32,98.32
2016-03-01,99.13,100.675,98.84,100.66
2016-03-02,100.52,101.24,100.256,101.22
2016-03-03,101.13,101.75,100.85,101.72
2016-03-04,101.89,102.6,101.4,102.07
2016-03-07,101.65,102.5563,101.56,102.28
2016-03-08,101.73,101.8,100.91,101.01
2016-03-09,101.5,101.7,100.98,101.5
2016-03-10,101.8,102.3,100.4,101.5
