Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2024-06-12,160.24,158.7624661387134,SELL,10000.0,-0.0012426639487078525,-0.0021218172740888885,-0.0012426639487078525
2024-06-13,159.9,160.54191736584767,BUY,10000.0,0.001884157300597084,-0.0016885553470920023,0.001884157300597084
2024-06-14,159.63,163.6889915562736,BUY,9984.88,0.023696007231229547,-0.007705318549144802,0.023696007231229547
2024-06-17,158.4,160.065666975696,BUY,9916.0,0.002729229942341595,-0.023800505050505127,0.002729229942341595
2024-06-18,154.63,158.7888039895516,BUY,9704.88,0.002454570641108548,0.04623941020500544,0.002454570641108548
2024-06-20,161.78,154.34490424935476,SELL,10105.28,-0.0018437285820685299,-0.0033996785758437778,-0.0018437285820685299
2024-06-21,161.23,161.42446434122954,SELL,10105.28,-0.002197649021946237,-0.006078273274204515,-0.002197649021946237
2024-06-24,160.25,161.58810021306923,BUY,10105.28,0.0022210519944752235,0.0,0.0022210519944752235
2024-06-25,160.25,160.48745883205305,BUY,10105.28,0.0014818023841063064,-0.016911076443057782,0.0014818023841063064
2024-06-26,157.54,160.0181176466972,SELL,9953.52,-0.0014470037647601533,0.012250856925225317,-0.0014470037647601533
2024-06-27,159.47,157.44385085219585,SELL,9953.52,-0.0006103157788760862,0.017181915093748,-0.0006103157788760862
2024-06-28,162.21,159.59851515492437,BUY,9953.52,0.000805889226339643,-0.027865113124961538,0.000805889226339643
2024-07-01,157.69,162.25195837471372,BUY,9704.92,0.0002586670039683545,0.04198110216247075,0.0002586670039683545
2024-07-02,164.31,158.0062915987092,BUY,10069.019999999999,0.002005780954462447,-0.002495283305946061,0.002005780954462447
2024-07-03,163.9,164.905298530816,BUY,10046.47,0.003623020697559389,0.04881025015253204,0.003623020697559389
2024-07-05,171.9,163.9780238913155,BUY,10486.47,0.0004760457066228835,0.03949970913321699,0.0004760457066228835
2024-07-08,178.69,171.8010445784477,SELL,10859.92,-0.0005756569025730913,-0.008898091667133068,-0.0005756569025730913
2024-07-09,177.1,178.64222778305407,SELL,10859.92,-0.0002673468965579775,0.03873517786561265,-0.0002673468965579775
2024-07-10,183.96,177.68061863258401,BUY,10859.92,0.0032784790095089205,-0.01098064796694942,0.0032784790095089205
2024-07-11,181.94,183.4347488651415,SELL,10752.859999999999,-0.002855246438674194,-0.0018137847642079041,-0.002855246438674194
2024-07-12,181.61,182.4569316651434,BUY,10752.859999999999,0.0028412205405265595,-0.009801222399647647,0.0028412205405265595
2024-07-15,179.83,182.20326310930986,BUY,10658.519999999999,0.0032666874583439417,-0.11344047155646995,0.0032666874583439417
2024-07-17,159.43,180.40337902681006,BUY,9577.32,0.0031884503520548547,-0.0229567835413661,0.0031884503520548547
2024-07-18,155.77,160.03140853487577,BUY,9383.34,0.0037722419549380748,-0.026898632599345218,0.0037722419549380748
2024-07-19,151.58,156.99726717480618,BUY,9161.27,0.007878713326097398,0.028301886792452713,0.007878713326097398
2024-07-22,155.87,151.93781786992855,BUY,9388.64,0.002360587610031274,-0.01199717713479187,0.002360587610031274
2024-07-23,154.0,160.25184532104592,BUY,9289.529999999999,0.028112178873714574,-0.06084415584415593,0.028112178873714574
2024-07-24,144.63,156.11310385403638,BUY,8792.919999999998,0.013721453597638968,-0.04362856945308724,0.013721453597638968
2024-07-25,138.32,145.70666797904207,BUY,8458.489999999998,0.0074442921872507305,0.012073452862926715,0.0074442921872507305
2024-07-26,139.99,139.05135966409156,BUY,8547.0,0.005287446964224697,-0.001714408172012405,0.005287446964224697
2024-07-29,139.75,139.9247621150448,SELL,8534.279999999999,-0.00046601817954979507,-0.009373881932021488,-0.00046601817954979507
2024-07-30,138.44,139.6309701842199,SELL,8534.279999999999,-0.0008517339232922173,0.04362900895694888,-0.0008517339232922173
2024-07-31,144.48,138.05720129014114,SELL,8534.279999999999,-0.0027650874736987524,-0.08264119601328901,-0.0027650874736987524
2024-08-01,132.54,144.66053052280284,BUY,8534.279999999999,0.0012495191223895288,-0.00030179568432164806,0.0012495191223895288
2024-08-02,132.5,133.17643920787066,BUY,8532.0,0.004801865156712291,0.01750943396226412,0.004801865156712291
2024-08-05,134.82,132.87226148136034,BUY,8664.239999999998,0.0028095206140402837,-0.034416258715324055,0.0028095206140402837
2024-08-06,130.18,135.02467905245993,BUY,8399.759999999998,0.0015181653497993452,-0.01159932401290531,0.0015181653497993452
2024-08-07,128.67,130.40208693388814,BUY,8313.689999999999,0.0017059988776166974,0.0594544182793193,0.0017059988776166974
2024-08-08,136.32,129.4194631127335,BUY,8749.739999999998,0.005824691946324116,-0.01503814553990601,0.005824691946324116
2024-08-09,134.27,136.28712912257535,SELL,8632.89,-0.00024113026279813177,0.01861920011916296,-0.00024113026279813177
2024-08-12,136.77,135.02812669732376,BUY,8632.89,0.005646285077260257,0.03187833589237399,0.005646285077260257
2024-08-13,141.13,137.26165915481445,BUY,8877.05,0.0035947880003982416,-0.0026925529653510916,0.0035947880003982416
2024-08-14,140.75,140.7541173721913,SELL,8855.769999999999,-0.002663378642448151,0.04696269982238022,-0.002663378642448151
2024-08-15,147.36,139.9623851666192,SELL,8855.769999999999,-0.005595842510698347,0.008143322475570036,-0.005595842510698347
2024-08-16,148.56,146.4793430326031,SELL,8855.769999999999,-0.005976228063225432,0.04523424878836834,-0.005976228063225432
2024-08-19,155.28,147.79547416475074,SELL,8855.769999999999,-0.00514624283285724,0.007212776919113928,-0.00514624283285724
2024-08-20,156.4,154.8992272757741,SELL,8855.769999999999,-0.0024521684970756717,0.009015345268542196,-0.0024521684970756717
2024-08-21,157.81,156.0719077168747,SELL,8855.769999999999,-0.0020977767463255387,-0.03871744502883223,-0.0020977767463255387
2024-08-22,151.7,157.10846412215312,SELL,8855.769999999999,-0.004445446282535166,0.021621621621621623,-0.004445446282535166
2024-08-23,154.98,151.53632976881428,SELL,8855.769999999999,-0.0010789072589697506,-0.032197702929410155,-0.0010789072589697506
2024-08-26,149.99,154.4341061356713,SELL,8855.769999999999,-0.0035223503957200406,0.0034002266817787508,-0.0035223503957200406
2024-08-27,150.5,149.2982444594702,SELL,8855.769999999999,-0.004612011070936868,-0.02750830564784046,-0.004612011070936868
2024-08-28,146.36,150.1303053220397,SELL,8855.769999999999,-0.0024564430429254843,-0.005944247062038888,-0.0024564430429254843
2024-08-29,145.49,148.3732723864878,BUY,8855.769999999999,0.013755618929268972,0.021101106605264874,0.013755618929268972
2024-08-30,148.56,145.59637207102583,BUY,9021.549999999997,0.0007311297754197567,-0.0782175551965536,0.0007311297754197567
2024-09-03,136.94,148.18875597656285,SELL,8394.069999999998,-0.0024989500769867804,0.028698700160654456,-0.0024989500769867804
2024-09-04,140.87,135.45265688383094,SELL,8394.069999999998,-0.010861275859274605,-0.010151203237027118,-0.010861275859274605
2024-09-05,139.44,140.06096220391967,SELL,8394.069999999998,-0.005743151814299253,-0.036503155479059135,-0.005743151814299253
