Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-19,268.4167175292969,266.4421685435882,SELL,10000.0,-0.013050291,-0.028267757828563812,-0.013050291
2025-05-20,266.8100891113281,266.3389425810856,SELL,10000.0,-0.0077408785,-0.02131740580447981,-0.0077408785
2025-05-21,261.0029296875,266.96711652397425,HOLD,10000.0,0.00058848085,0.018133317992868436,0.00058848085
2025-05-22,260.58673095703125,264.15854002616834,BUY,9997.654719421387,0.012090333,0.009588197164129324,0.012090333
2025-05-23,261.1674499511719,261.2314096006812,BUY,10001.053018218994,0.0024739671,0.013051644896874506,0.0024739671
2025-05-27,265.7357788085937,262.0261765247051,BUY,10072.817601043702,0.003288016,0.01735206177613611,0.003288016
2025-05-28,263.0257568359375,266.16425778200204,HOLD,10015.90713961792,0.0016124055,0.028078650819424445,0.0016124055
2025-05-29,264.39044189453125,262.96301525361196,HOLD,10044.56552584839,-0.00023855921,0.04151772404094843,-0.00023855921
2025-05-30,269.9459533691406,261.61914506257745,SELL,10158.801753234864,-0.0104818065,0.005212355731991159,-0.0104818065
2025-06-02,269.74273681640625,271.01471769849013,BUY,10154.744698181154,0.003959168,-0.010284979110642061,0.003959168
2025-06-03,274.1852111816406,269.54150556957757,HOLD,10234.709236755372,-0.00074599404,-0.014414094138278741,-0.00074599404
2025-06-04,271.20416259765625,272.8870932156224,SELL,10179.15193310547,-0.004734447,-0.0012063233326956783,-0.004734447
2025-06-05,267.3424072265625,270.72826418001205,HOLD,10136.672624023438,-0.0017547694,0.023279588136127658,-0.0017547694
2025-06-06,270.7879638671875,268.92400475066097,BUY,10172.94901928711,0.005916049,0.010107294681052988,0.005916049
2025-06-09,270.9234924316406,272.03976708064147,BUY,10173.898387420657,0.0046228296,0.014333084222019503,0.0046228296
2025-06-10,272.8205261230469,269.152104824645,SELL,10214.269026000979,-0.0065383445,-0.006607038743048454,-0.0065383445
2025-06-11,273.139892578125,271.79209200417245,SELL,10218.059416381839,-0.0037696378,-0.00796986876619404,-0.0037696378
2025-06-12,274.1755065917969,272.4831572695548,SELL,10227.806117492677,-0.0024043813,-0.028177045485736737,-0.0024043813
2025-06-13,271.3590393066406,272.1166592226946,SELL,10212.366985870362,-0.007509229,-0.022554826338284355,-0.007509229
2025-06-16,271.4171142578125,270.39147895035967,SELL,10212.366985870362,-0.0035655948,-0.04515099464010056,-0.0035655948
2025-06-17,268.14569091796875,269.120492674454,SELL,10212.366985870362,-0.008461616,-0.018111345682079512,-0.008461616
2025-06-18,266.5293884277344,267.5798863408454,SELL,10212.366985870362,-0.0021100903,0.0268217490648503,-0.0021100903
2025-06-20,261.8062744140625,268.35803895253775,BUY,10210.010729400636,0.0068609184,0.054618531912879076,0.0068609184
2025-06-23,264.40008544921875,260.400462886726,SELL,10230.975427947998,-0.0053696847,0.04580254126609823,-0.0053696847
2025-06-24,271.9687805175781,267.5006357199818,BUY,10228.52770892334,0.011726683,0.006111358368287257,0.011726683
2025-06-25,272.9366149902344,274.83928917520825,BUY,10235.327662872314,0.010554597,0.0002830186076417966,0.010554597
2025-06-26,273.9045104980469,272.89228390003154,HOLD,10250.813990997314,-0.00016243733,0.021101748124844093,-0.00016243733
2025-06-27,273.2754211425781,274.3497200012971,HOLD,10240.748561309814,0.0016254438,0.049483060935002994,0.0016254438
2025-06-30,272.99468994140625,276.9344988558478,BUY,10234.89188864136,0.013389751,0.05868566020437268,0.013389751
2025-07-01,278.0596923828125,275.8015019915183,BUY,10340.144701141358,0.010281535,0.016684569391599523,0.010281535
2025-07-02,282.7642822265625,278.452554163232,HOLD,10457.759447235108,0.0014128569,0.009640778048212971,0.0014128569
2025-07-03,284.2643737792969,283.34375867554627,BUY,10495.261736053468,0.002049359,0.011477802361047201,0.002049359
2025-07-07,281.5175476074219,284.4937884581668,HOLD,10426.591081756593,0.00080701476,0.024656889929077754,0.00080701476
2025-07-08,284.7611389160156,277.1860052790089,SELL,10505.118014221192,-0.0153863905,-0.001824280975105664,-0.0153863905
2025-07-09,286.6020812988281,280.6889390224296,SELL,10532.5668777771,-0.014300381,-0.016401411646809687,-0.014300381
2025-07-10,286.4656982421875,283.59087637230004,SELL,10529.907101776123,-0.010506559,-0.03512085770061495,-0.010506559
2025-07-11,284.3909912109375,283.79972504015313,SELL,10520.47070968628,-0.009306437,-0.013534121952680098,-0.009306437
2025-07-14,283.2513732910156,284.8110714879149,HOLD,10520.47070968628,0.0014770647,0.01293111029013128,0.0014770647
2025-07-15,279.2090759277344,284.4543615193652,BUY,10517.957828002931,0.0042470186,0.038127529769786325,0.0042470186
2025-07-16,281.4883728027344,277.079428921983,SELL,10535.938104522706,-0.007627437,0.02085282224387457,-0.007627437
2025-07-17,285.959228515625,282.79584991429874,BUY,10533.364471466066,0.004644814,0.01965248917250501,0.004644814
2025-07-18,287.6443176269531,289.154151531955,BUY,10546.804407562257,0.011172656,0.011057725524805311,0.011172656
2025-07-21,286.0955505371094,286.37653523284644,SELL,10520.998041259767,-0.0044074757,0.015279137143909525,-0.0044074757
2025-07-22,290.3910827636719,284.99226283882854,SELL,10545.02888812256,-0.0038563593,0.004882217071104014,-0.0038563593
2025-07-23,290.1573486328125,289.2163095730939,SELL,10545.02888812256,-0.004045479,-0.010461791526096411,-0.004045479
2025-07-24,289.50469970703125,290.0183855118594,HOLD,10545.02888812256,-0.00047893845,-0.009119986480939753,-0.00047893845
2025-07-25,291.4722595214844,288.7303618255464,SELL,10545.02888812256,-0.0026746772,-0.0395274141537902,-0.0026746772
2025-07-28,287.8878173828125,290.70122394860846,SELL,10545.02888812256,-0.002645327,-0.032659180852990084,-0.002645327
2025-07-29,287.52740478515625,287.24486990991136,SELL,10545.02888812256,-0.0022333076,-0.05853316114380509,-0.0022333076
2025-07-30,282.5987548828125,286.4479869566567,SELL,10545.02888812256,-0.0037541257,-0.011125875291343117,-0.0037541257
2025-07-31,280.4071655273437,283.2262686499598,BUY,10542.505223632816,0.0022205422,0.017787576672809512,0.0022205422
2025-08-01,274.436279296875,278.2648201896372,SELL,10486.297321044925,-0.0076401243,0.026667408358355852,-0.0076401243
2025-08-04,280.0175476074219,273.33966063475236,SELL,10486.297321044925,-0.003995872,0.003909138407927308,-0.003995872
2025-08-05,284.8877868652344,278.46910071496495,SELL,10486.297321044925,-0.005529848,-0.013505251036742424,-0.005529848
2025-08-06,281.5467834472656,286.85801602210995,BUY,10483.7633999939,0.006915816,-0.018544484269026967,0.006915816
2025-08-07,281.06951904296875,278.52856426297876,SELL,10476.938394683842,-0.010720115,0.0025541490524723306,-0.010720115
2025-08-08,281.2448425292969,280.5680332789998,HOLD,10476.938394683842,-0.0017841847,0.020329795619222053,-0.0017841847
2025-08-11,276.5791931152344,280.5480174056138,SELL,10476.938394683842,-0.002477626,0.028948641098750724,-0.002477626
2025-08-12,281.7610778808594,273.66457358939806,SELL,10476.938394683842,-0.010538103,0.004143471866317868,-0.010538103
2025-08-13,286.5728454589844,278.37977015153774,SELL,10476.938394683842,-0.012000624,-0.02110959830138778,-0.012000624
2025-08-14,284.5857849121094,283.8578089603361,SELL,10476.938394683842,-0.0094741685,-0.006724564436484376,-0.0094741685
2025-08-15,282.92022705078125,282.77561735886957,SELL,10476.938394683842,-0.006360731,0.006773990562679565,-0.006360731
2025-08-18,280.6604309082031,279.34492499480257,SELL,10476.938394683842,-0.012637154,0.01949973256685601,-0.012637154
2025-08-19,282.6864013671875,281.14432428028886,HOLD,10476.938394683842,0.0017241598,0.03350419211782925,0.0017241598
2025-08-20,284.7806091308594,282.96135024413525,HOLD,10476.938394683842,0.00097257015,0.006618560541406089,0.00097257015
2025-08-21,285.9007568359375,285.8359659667076,BUY,10474.365287872319,0.003705916,0.0016952924823462944,0.003705916
2025-08-22,291.5307006835937,286.065713842283,HOLD,10525.034782501225,0.00057700905,-0.017104298335513433,0.00057700905
2025-08-25,286.5339050292969,289.5931073242172,SELL,10477.48481646729,-0.006646294,0.00303280438745181,-0.006646294
2025-08-26,286.339111328125,282.1723675967114,SELL,10477.48481646729,-0.01522171,0.0005179628412140007,-0.01522171
2025-08-27,286.9429931640625,281.9303445280093,SELL,10477.48481646729,-0.015396991,-0.009147807301116168,-0.015396991
2025-08-28,287.36181640625,284.3056384101583,SELL,10477.48481646729,-0.009191206,-0.014380425034985416,-0.009191206
2025-08-29,286.4754333496094,286.50011887421715,SELL,10477.48481646729,-0.0029986782,-0.016221246669536303,-0.0029986782
2025-09-02,284.60528564453125,289.47166450266377,BUY,10474.923368896489,0.010459006,-0.009304256803083895,0.010459006
2025-09-03,283.71893310546875,287.9804366137032,BUY,10465.243882446293,0.0118590975,-0.009829042127378791,0.0118590975
2025-09-04,282.4429016113281,284.0245819089978,HOLD,10446.103410034184,0.0010773098,-0.011477286667934176,0.0010773098
2025-09-05,282.33575439453125,283.6768330881896,BUY,10443.084523010259,0.0043688263,-0.0094925142968382,0.0043688263
2025-09-08,281.41046142578125,282.2192505343155,HOLD,10424.578663635259,-0.0004126206,0.022811454277297888,-0.0004126206
2025-09-09,279.6864013671875,281.8184568919969,HOLD,10390.097462463384,0.0014498802,0.02337327693650725,0.0014498802
2025-09-10,280.0370178222656,277.6312153975159,SELL,10394.589458404545,-0.0073482012,0.008280735173995881,-0.0073482012
2025-09-11,286.8747863769531,278.1016542804555,SELL,10468.083663787846,-0.006911072,-0.03694728305301709,-0.006911072
2025-09-12,285.2189636230469,284.34166178983287,SELL,10458.3784552002,-0.008830065,-0.008314057802677834,-0.008830065
2025-09-15,282.0046081542969,282.37575290488167,SELL,10458.3784552002,-0.009968515,0.01068700081138239,-0.009968515
2025-09-16,277.5532531738281,280.8437094532146,SELL,10458.3784552002,-0.004116617,0.018228558757911874,-0.004116617
2025-09-17,283.0858154296875,276.93770400022913,SELL,10458.3784552002,-0.0022177955,-0.010262127377567251,-0.0022177955
2025-09-18,284.8585510253906,280.30703076125064,SELL,10458.3784552002,-0.009816063,-0.052169986604146824,-0.009816063
2025-09-19,282.61822509765625,283.8039919969924,SELL,10458.3784552002,-0.003702047,-0.059575136862266606,-0.003702047
2025-09-23,269.4004821777344,281.5033655540101,SELL,10458.3784552002,-0.003944774,-0.0296179056662515,-0.003944774
2025-09-24,265.21209716796875,267.5182036208298,SELL,10458.3784552002,-0.0069869217,-0.005384709441900727,-0.0069869217
2025-09-25,258.8808288574219,264.14144574826423,SELL,10458.3784552002,-0.0040369397,0.02052916551088284,-0.0040369397
2025-09-26,259.8548889160156,258.12928636255856,SELL,10458.3784552002,-0.0029030282,0.011189428866191117,-0.0029030282
2025-09-29,263.4588623046875,257.7341800185877,SELL,10458.3784552002,-0.008161134,0.005696961004371915,-0.008161134
2025-09-30,265.6407165527344,263.3828736880605,HOLD,10458.3784552002,-0.0002884122,0.0016575672617879541,-0.0002884122
2025-10-01,263.4542236328125,264.4899435473053,SELL,10458.3784552002,-0.004332063,0.006856886661939979,-0.004332063
2025-10-02,265.3171081542969,259.85981649869063,SELL,10458.3784552002,-0.013643398,0.0008706382746978304,-0.013643398
2025-10-03,266.170166015625,263.2807698210654,SELL,10458.3784552002,-0.0076751383,-0.008913616714156358,-0.0076751383
2025-10-06,265.6603088378906,265.20771711341513,SELL,10458.3784552002,-0.0036159323,-0.02617369708447088,-0.0036159323
2025-10-07,265.6014709472656,263.1427993070174,SELL,10458.3784552002,-0.009476426,-0.04492888953494237,-0.009476426
2025-10-08,263.3365478515625,263.4783804614981,SELL,10458.3784552002,-0.007993501,-0.02595981019475558,-0.007993501
2025-10-09,257.5811767578125,261.427527648455,SELL,10458.3784552002,-0.007249374,-0.002318790781347244,-0.007249374
2025-10-10,252.06106567382807,256.42458660669945,SELL,10458.3784552002,-0.0044901725,0.001063398373947066,-0.0044901725
2025-10-13,255.76727294921875,249.34699324054048,SELL,10458.3784552002,-0.010767495,-0.024823391445579046,-0.010767495
2025-10-14,256.8850402832031,254.01171399050872,SELL,10458.3784552002,-0.006863909,-0.02774106119767098,-0.006863909
2025-10-15,252.38462829589844,255.27945672219175,SELL,10458.3784552002,-0.0062502036,-0.009698039818048676,-0.0062502036
2025-10-16,248.2372131347656,253.39385294575186,BUY,10455.896083068852,0.0039987145,0.004721597376193275,0.0039987145
2025-10-17,248.2568359375,248.51002345894446,HOLD,10456.092311096196,0.001098969,-0.0001576505307026104,0.001098969
2025-10-20,249.2471160888672,247.31198646157281,SELL,10463.50264144898,-0.0038059622,0.0023809102106653033,-0.0038059622
2025-10-21,249.7373504638672,248.69887457340792,SELL,10463.50264144898,-0.0021996156,0.0006820581572618248,-0.0021996156
2025-10-22,248.20779418945312,250.91208483123228,BUY,10461.020563507085,0.004703901,0.009321761236861622,0.004703901
2025-10-23,249.9530334472656,247.50849544908124,SELL,10475.973425750737,-0.0028173842,-0.001817293704736933,-0.0028173842
2025-10-24,249.93344116210935,249.28846222382887,SELL,10475.973425750737,-0.0026587562,-0.024538620861777927,-0.0026587562
2025-10-27,250.766845703125,248.19773929734944,SELL,10475.973425750737,-0.0069446294,-0.04281016334611365,-0.0069446294
2025-10-28,249.4628143310547,251.66359804122476,BUY,10473.478797607426,0.0035760943,-0.04688062388462988,0.0035760943
2025-10-29,243.49171447753903,248.70634670978234,SELL,10411.332881927494,-0.0030323986,-0.034761263764640504,-0.0030323986
2025-10-30,239.8835601806641,243.2281686041833,HOLD,10411.332881927494,-0.0010823763,-0.015196525724007853,-0.0010823763
2025-10-31,237.8539581298828,240.25328237409306,HOLD,10411.332881927494,0.0015412638,-0.019434212505375848,0.0015412638
2025-11-06,253.7377166748047,235.64645456597282,SELL,10411.332881927494,-0.009280897,0.010221321634161076,-0.009280897
2025-11-07,254.6691436767578,249.71291691665556,SELL,10411.332881927494,-0.01586203,0.005478555326664889,-0.01586203
2025-11-10,253.38470458984372,252.9990079878462,SELL,10411.332881927494,-0.0065580523,0.014307491603814768,-0.0065580523
2025-11-11,257.1105651855469,250.51616447586636,SELL,10411.332881927494,-0.0113208825,-0.00891636672766365,-0.0113208825
2025-11-12,256.4437866210937,256.83442430054674,HOLD,10411.332881927494,-0.0010739979,-0.02669472423471685,-0.0010739979
2025-11-13,257.8949279785156,256.87556410339306,HOLD,10411.332881927494,0.0016836866,-0.03571982001971053,0.0016836866
2025-11-14,254.27696228027344,257.99681184188375,HOLD,10411.332881927494,0.00039509754,-0.020522631460103333,0.00039509754
2025-11-17,248.1489715576172,254.12834168123482,HOLD,10411.332881927494,-0.00058448967,-0.006695566356815786,-0.00058448967
2025-11-18,247.2371368408203,248.06553647824785,HOLD,10411.332881927494,-0.00033621723,0.017951016413290725,-0.00033621723
2025-11-19,248.30584716796875,247.33828805132362,HOLD,10411.332881927494,0.0004090704,0.011892349454352493,0.0004090704
2025-11-20,246.18801879882807,250.05383744154096,BUY,10408.871001739506,0.0070396885,0.027448945865291667,0.0070396885
2025-11-21,252.34539794921875,245.833437485322,HOLD,10470.444793243412,-0.001440285,0.005561571079158374,-0.001440285
2025-11-24,251.57083129882807,252.71263797499705,HOLD,10462.699126739506,0.0014552701,0.01589647920309213,0.0014552701
2025-11-25,253.8749542236328,251.50134544180395,HOLD,10485.740355987553,-0.00027621049,0.007150516296864438,-0.00027621049
2025-11-26,253.9043731689453,254.15789472425422,HOLD,10486.034545440678,0.0011144483,-0.008447500299754052,0.0011144483
2025-11-28,255.95355224609372,256.10571708157113,BUY,10504.73466134644,0.008669994,-0.0027797335716213357,0.008669994
2025-12-01,255.76727294921875,257.04658509518043,BUY,10500.03330966187,0.00427044,0.003093178704157505,0.00427044
2025-12-02,251.75711059570312,257.30585099787277,BUY,10406.792547088628,0.0060155336,0.016041760709314692,0.0060155336
2025-12-08,231.441650390625,251.53208222207468,HOLD,9858.275121551518,-0.00089381495,0.02369827118252384,-0.00089381495
2025-12-09,226.25489807128903,232.53368997146026,BUY,9718.232808929446,0.0047183963,0.03659751040206253,0.0047183963
2025-12-10,232.08876037597656,227.27836565520917,BUY,9875.74709115601,0.0045234845,0.024610546756524583,0.0045234845
2025-12-11,238.97171020507807,233.46929513993746,BUY,10061.58673654175,0.0059483275,-0.004410789669245711,0.0059483275
2025-12-12,238.25596618652344,238.8918308406573,HOLD,10042.261648040776,-0.0003342377,0.01035257943592223,-0.0003342377
2025-12-15,240.22671508789065,238.35230687109288,HOLD,10095.471868377692,0.0004043372,-0.003995378281214082,0.0004043372
2025-12-16,237.52061462402344,240.77781044306178,BUY,10022.407155853276,0.0022940403,-0.007316610290115078,0.0022940403
2025-12-17,241.56997680664065,238.72441255220656,BUY,10131.739934783942,0.0050682155,-0.005172551052502121,0.0050682155
2025-12-18,238.99131774902344,243.56750743880187,BUY,10062.116140228276,0.008268905,0.00335265206895849,0.008268905
2025-12-19,235.2753143310547,237.91778661679018,SELL,9959.43129479981,-0.004491898,0.019699802165797704,-0.004491898
2025-12-22,240.00120544433597,233.47821663283048,SELL,10038.09143528748,-0.0076383045,0.00888435957064015,-0.0076383045
2025-12-23,239.9914093017578,238.30579764451707,SELL,10036.553525405889,-0.0070641423,0.010775207644086533,-0.0070641423
2025-12-24,241.0405120849609,240.2591342459018,HOLD,10040.749936538701,0.0011155248,0.010947756452140113,0.0011155248
2025-12-26,242.5896759033203,241.65691960635738,BUY,10044.76328472901,0.0025573038,-0.0015254778544324188,0.0025573038
2025-12-29,243.01126098632807,244.25396106818152,BUY,10048.542811981206,0.006860462,0.017629862360267628,0.006860462
2025-12-30,243.96234130859372,243.38910625899365,HOLD,10067.564418426518,0.0015548446,0.02816415889089913,0.0015548446
2025-12-31,242.19749450683597,246.7206492780533,BUY,10031.05649491883,0.011306318,0.05622230849874209,0.011306318
2026-01-02,247.3726806640625,242.99653239971124,BUY,10160.436148849494,0.0032991087,0.04632338684646252,0.0032991087
2026-01-05,250.7010040283203,249.40197456120222,BUY,10243.64423295594,0.008203386,0.029073445851083738,0.008203386
2026-01-06,255.1650848388672,252.44078114610966,BUY,10355.246253219611,0.0069396617,0.0207463609356473,0.0069396617
2026-01-07,258.6317138671875,254.26839118767202,SELL,10440.877452072149,-0.0035141495,0.019647551640784744,-0.0035141495
2026-01-08,257.98974609375,258.7837738529197,HOLD,10427.396128829962,0.0005879761,0.01890780150908518,0.0005879761
2026-01-09,260.4588317871094,256.47456600356963,SELL,10476.902798904426,-0.0058730533,0.013509136134036884,-0.0058730533
2026-01-12,263.73779296875,260.1224301799539,HOLD,10516.250333084114,-0.0012915796,-0.004059138275163178,-0.0012915796
2026-01-13,262.888427734375,262.52213412488345,SELL,10504.217731277473,-0.004609341,0.0052844364905024,-0.004609341
2026-01-14,263.9451904296875,260.4197809555626,SELL,10508.181818801888,-0.009390453,-0.035874359357041426,-0.009390453
2026-01-15,262.6908874511719,262.7232266169158,SELL,10508.181818801888,-0.004629582,-0.011370363668344693,-0.004629582
2026-01-16,264.2217102050781,264.11053045889275,BUY,10505.803823410042,0.0054042097,-0.014122673390707066,0.0054042097
2026-01-20,254.98733520507807,264.70060096764064,HOLD,10422.694448410042,0.0018124629,0.01200396669995241,0.0018124629
2026-01-21,259.8563537597656,257.7636019317651,BUY,10464.696620925912,0.01088785,-0.0018548435257438904,0.01088785
2026-01-22,260.7748718261719,260.95409603216467,BUY,10477.828260757455,0.0042244364,-0.018963334453610568,0.0042244364
2026-01-23,258.1181640625,262.6316856258127,BUY,10418.348217300423,0.0071204025,-0.021372682771673056,0.0071204025
2026-01-26,259.3724060058594,261.0188597829547,BUY,10450.958507827767,0.011237801,-0.026577479733286932,0.011237801
2026-01-27,255.91571044921875,264.6361896718554,BUY,10361.08442335511,0.020294324,0.054321494196426436,0.020294324
2026-01-28,252.7256622314453,263.701659217666,BUY,10278.143169693001,0.030423855,0.06051648251090797,0.030423855
2026-01-30,269.1302490234375,256.161825347639,BUY,10704.662426284798,0.013596457,0.049858305660535,0.013596457
2026-02-02,267.638916015625,272.21594312439265,BUY,10665.887768081673,0.011465454,0.043902157762396685,0.011465454
2026-02-03,274.522705078125,270.37177455308847,BUY,10844.866283706673,0.01021097,0.01807147462329037,0.01021097
2026-02-04,283.0459899902344,276.0939293046249,BUY,11066.471691421517,0.0057234224,-0.0007603660173953197,0.0057234224
2026-02-05,279.9942321777344,283.5408121875771,HOLD,10987.125988296517,0.001748176,0.02541579175767205,0.001748176
2026-02-06,279.6189270019531,276.5406027793233,SELL,10974.851483383187,-0.012334672,0.035515863674217364,-0.012334672
2026-02-09,282.8287353515625,277.633086516189,SELL,11027.438424179085,-0.007101925,0.01824747925509503,-0.007101925
2026-02-10,287.17431640625,283.1880784823152,HOLD,11070.89423472596,0.0012705161,-0.03893560220736555,0.0012705161
2026-02-11,289.5150451660156,289.763387963234,BUY,11092.274917007453,0.009015632,-0.05466590586448926,0.009015632
2026-02-12,287.8952941894531,289.2940074078124,HOLD,11064.73915040589,-0.0007634987,-0.032010169420085506,-0.0007634987
2026-02-13,276.2807312011719,288.24185546406807,HOLD,10867.29157960511,0.0012037264,0.0030725648406272417,0.0012037264
2026-02-17,274.256103515625,278.66586759958955,BUY,10831.501628433234,0.0086330185,0.01107630003589027,0.0086330185
