Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2026-06-09,324.8599853515625,327.48942171501164,SELL,10000,-0.05456448550518598,0.10420441687959407,-0.05456448550518598
2026-06-10,307.42999267578125,307.9557472881658,SELL,10000,-0.052035457814550275,0.15,-0.052035457814550275
2026-06-11,342.2300109863281,292.14042699188553,SELL,10000,-0.04973348745455769,0.10103037683666677,-0.04973348745455769
2026-06-12,380.80999755859375,325.46087291612497,SELL,10000,-0.04899961292662051,0.06976648871912636,-0.04899961292662051
2026-06-15,412.5499877929688,364.670860774924,SELL,10000,-0.04238107425524321,0.04806300640360243,-0.04238107425524321
2026-06-16,396.3399963378906,392.93464988146906,SELL,10000,-0.04754657251703363,0.02066736188321517,-0.04754657251703363
2026-06-17,418.8800048828125,383.78462380091946,SELL,10000,-0.031678287967352566,-0.09259104644341414,-0.031678287967352566
2026-06-18,439.4599914550781,405.91581485110123,SELL,10000,-0.030949651166419786,-0.142445548345023,-0.030949651166419786
2026-06-22,407.7200012207031,420.13294365455283,SELL,10000,-0.04397908382178834,-0.10490295524738251,-0.04397908382178834
2026-06-23,366.3900146484375,395.80040137463214,SELL,10000,-0.029234768494025298,-0.05521813018278926,-0.029234768494025298
2026-06-24,359.0799865722656,351.1691163396552,SELL,10000,-0.04154288517766287,-0.027087476293053032,-0.04154288517766287
2026-06-25,347.7099914550781,341.92099626093363,SELL,10000,-0.04778598349389964,0.012108343300816999,-0.04778598349389964
2026-06-26,334.2699890136719,334.98885791395116,SELL,10000,-0.036585470230211733,0.005839600892391344,-0.036585470230211733
2026-06-29,343.5799865722656,314.66619117989393,SELL,10000,-0.05864659849250216,-0.05121588555801445,-0.05864659849250216
2026-06-30,354.57000732421875,324.060745801276,SELL,10000,-0.0568113438903232,-0.06059134505266665,-0.0568113438903232
2026-07-01,337.4700012207031,333.95782256427594,SELL,10000,-0.05813290558751361,-0.07120507506695903,-0.05813290558751361
2026-07-02,315.2799987792969,318.3653741407709,SELL,10000,-0.05661133437291197,-0.028204264984210005,-0.05661133437291197
2026-07-06,322.239990234375,299.9075090602655,SELL,10000,-0.0487582142176817,0.010847703945832171,-0.0487582142176817
2026-07-07,300.42999267578125,306.6288769979064,SELL,10000,-0.04844561106495233,0.04507791956635741,-0.04844561106495233
2026-07-08,300.239990234375,283.12181729946,SELL,10000,-0.05761134306919856,-0.002543639749518428,-0.05761134306919856
2026-07-09,327.8699951171875,283.6218846567995,SELL,10000,-0.05534940753429606,-0.09376478646775406,-0.05534940753429606
2026-07-10,323.3900146484375,309.0415981577773,SELL,10000,-0.057426410588991395,-0.10031946534019227,-0.057426410588991395
2026-07-13,298.989990234375,306.23813935801877,SELL,10000,-0.05303773930393251,-0.08052508749622407,-0.05303773930393251
2026-07-14,281.1700134277344,287.1499198311806,SELL,10000,-0.03960022338511416,-0.030528209899830027,-0.03960022338511416
2026-07-15,277.010009765625,273.22668846647684,SELL,10000,-0.028250967677600786,-0.01665172023040093,-0.028250967677600786
2026-07-16,262.010009765625,268.55749568977205,SELL,10000,-0.0305133886064425,0.06362027535670788,-0.0305133886064425
2026-07-17,267.19000244140625,249.5876590140373,SELL,10000,-0.047411741111340826,0.03783761529467677,-0.047411741111340826
2026-07-20,269.6099853515625,250.99678890066272,SELL,10000,-0.060605611709946446,0.03322158130897888,-0.060605611709946446
2026-07-21,289.7300109863281,255.06863129628667,SELL,10000,-0.05393477558449627,-0.07521215691929146,-0.05393477558449627
2026-07-22,283.3999938964844,278.9905557272959,SELL,10000,-0.037067113698273396,-0.049901419383251044,-0.037067113698273396
2026-07-23,283.0400085449219,271.62085120949763,SELL,10000,-0.041563665986842795,-0.12235237022497644,-0.041563665986842795
2026-07-24,260.010009765625,272.645853446792,SELL,10000,-0.03672327156703085,-0.11201203594697247,-0.03672327156703085
2026-07-27,266.3299865722656,253.45704294191904,SELL,10000,-0.02520274826962561,-0.0833637953334367,-0.02520274826962561
2026-07-28,244.7400054931641,258.95298426677857,SELL,10000,-0.027698729686547758,-0.017092783822411355,-0.027698729686547758
2026-07-29,224.88999938964844,238.6626389527718,SELL,10000,-0.02483192941074782,0.048758397112729265,-0.02483192941074782
2026-07-30,241.5399932861328,220.1201133026199,SELL,10000,-0.021209863044039323,0.12788383979664864,-0.021209863044039323
2026-07-31,239.69000244140625,231.00821251261272,SELL,10000,-0.043602637518681826,0.11731732159808278,-0.043602637518681826
2026-08-03,239.05999755859372,229.70096724785964,SELL,10000,-0.04167480951145839,0.15,-0.04167480951145839
2026-08-04,280.5599975585937,227.28753267896963,SELL,10000,-0.049244813017027836,0.006972234056344548,-0.049244813017027836
2026-08-05,274.5799865722656,266.40981956272054,SELL,10000,-0.050435479466091546,-0.02451009104037072,-0.050435479466091546
2026-08-06,286.67999267578125,263.67380593852937,SELL,10000,-0.039719503121418843,-0.06425113088390715,-0.039719503121418843
2026-08-07,282.57000732421875,277.14147596744766,SELL,10000,-0.03327234879317546,-0.038972870579263616,-0.03327234879317546
2026-08-10,267.8500061035156,274.48075679772853,SELL,10000,-0.028627420875594566,0.0405350773549152,-0.028627420875594566
2026-08-11,268.92999267578125,257.79421027707065,SELL,10000,-0.03754263803361172,0.04148306521084339,-0.03754263803361172
2026-08-12,271.8699951171875,260.64342071684905,SELL,10000,-0.03081311934188913,-0.0017935172175799733,-0.03081311934188913
2026-08-13,278.6499938964844,262.151077989369,SELL,10000,-0.03574839924365023,-0.10313735424913882,-0.03574839924365023
2026-08-14,279.44000244140625,267.78562340600564,SELL,10000,-0.038989308194690736,-0.12895935421505844,-0.038989308194690736
2026-08-17,271.42999267578125,268.52461158707496,SELL,10000,-0.03906166174837499,-0.09062934390827769,-0.03906166174837499
2026-08-18,253.32000732421875,263.65262499709803,SELL,10000,-0.028653309835118792,-0.04350163610273459,-0.028653309835118792
2026-08-19,249.33999633789065,243.6392557483826,SELL,10000,-0.03821550329992677,-0.04529778416208872,-0.03821550329992677
2026-08-20,250.72000122070312,240.51987979709776,SELL,10000,-0.035373853654992474,-0.04105515855983244,-0.035373853654992474
2026-08-21,243.32000732421875,240.62202262788526,SELL,10000,-0.040275919526375714,0.0356443365135662,-0.040275919526375714
2026-08-24,238.77999877929688,234.16906420282257,SELL,10000,-0.0376086751847033,0.07858294463678342,-0.0376086751847033
2026-08-25,241.55999755859372,226.80350070297175,SELL,10000,-0.05015704052915653,-0.012488797862502178,-0.05015704052915653
2026-08-26,251.05999755859372,233.0066157549455,SELL,10000,-0.03540893314330108,-0.04635600116619547,-0.03540893314330108
2026-08-27,255.2100067138672,241.0089855816293,SELL,10000,-0.040034302854713634,-0.10360127105828379,-0.040034302854713634
2026-08-28,239.0500030517578,245.01903102996,SELL,10000,-0.03993172452416017,-0.021483115861765278,-0.03993172452416017
2026-08-31,241.91000366210935,230.3079392837215,SELL,10000,-0.036570021570522714,0.003670366761570959,-0.036570021570522714
2026-09-01,234.82000732421875,234.76112621961624,SELL,10000,-0.0295518057718621,0.09520863946372589,-0.0295518057718621
2026-09-02,234.8600006103516,225.61356512122612,SELL,10000,-0.0392063789959822,0.15,-0.0392063789959822
2026-09-03,242.58999633789065,227.67503364278807,SELL,10000,-0.030592552792690592,0.12360526072259755,-0.030592552792690592
2026-09-04,252.08999633789065,231.57054738466348,SELL,10000,-0.045424168842802426,0.012130644207474353,-0.045424168842802426
