Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2024-05-14,1380.03,1340.9318194615842,BUY,10000.0,0.0025583985,0.040680275066484084,0.0025583985
2024-05-15,1436.17,1386.6840328752994,BUY,10336.84,0.004821674,-0.016738965442809617,0.004821674
2024-05-16,1412.13,1474.3779476201535,BUY,10192.6,0.026604107,-0.01192524767549741,0.026604107
2024-05-17,1395.29,1435.9945803272726,BUY,10091.56,0.016899718,0.013430899669602647,0.016899718
2024-05-20,1414.03,1403.0613417267798,BUY,10204.0,0.0055697146,-0.010487754856686182,0.0055697146
2024-05-21,1399.2,1397.3731146782636,SELL,10115.02,-0.011779732,-0.00497427101200687,-0.011779732
2024-05-22,1392.24,1367.2600871086122,SELL,10115.02,-0.02282725,0.0007541803137389724,-0.02282725
2024-05-23,1393.29,1394.653837738037,BUY,10115.02,0.001733807,0.010442908511508753,0.001733807
2024-05-24,1407.84,1375.1660027700661,SELL,10202.32,-0.013008044,0.003274519831799161,-0.013008044
2024-05-28,1412.45,1381.1560819244385,SELL,10202.32,-0.018953783,-0.015420014867782883,-0.018953783
2024-05-29,1390.67,1411.3671664774417,SELL,10202.32,-0.00076660805,-0.01912028015273226,-0.00076660805
2024-05-30,1364.08,1403.3310099363327,BUY,10202.32,0.0091042435,-0.02604685942173479,0.0091042435
2024-05-31,1328.55,1370.8103069972992,BUY,9989.14,0.0049339035,-0.00500545707726463,0.0049339035
2024-06-03,1321.9,1326.9182572066784,SELL,9949.240000000002,-0.0012282119,0.06898403812693843,-0.0012282119
2024-06-05,1413.09,1324.4329852819444,BUY,9949.240000000002,0.0019161563,-0.00836464768698375,0.0019161563
2024-06-06,1401.27,1411.5026630938053,SELL,9878.320000000002,-0.001123308,0.0038322378984778638,-0.001123308
2024-06-07,1406.64,1397.3587388688325,SELL,9878.320000000002,-0.0027912327,0.02405021896149684,-0.0027912327
2024-06-10,1440.47,1417.251414012909,BUY,9878.320000000002,0.007543816,0.014273119190264305,0.007543816
2024-06-11,1461.03,1457.7514679539204,BUY,10001.680000000002,0.011997133,0.14918242609665788,0.011997133
2024-06-13,1678.99,1474.1422641026973,BUY,11309.440000000002,0.008974659,0.033383164878885596,0.008974659
2024-06-14,1735.04,1678.4253734505176,SELL,11645.740000000002,-0.0003362722,0.054079444854297165,-0.0003362722
2024-06-17,1828.87,1757.9008251953126,BUY,11645.740000000002,0.0131759215,-0.014407803725797865,0.0131759215
2024-06-18,1802.52,1860.9662171149253,BUY,11513.990000000003,0.017549703,-0.0377027716752103,0.017549703
2024-06-20,1734.56,1853.6783765316009,BUY,11174.190000000002,0.028381636,-0.043774790148510156,0.028381636
2024-06-21,1658.63,1758.6119386100768,BUY,10794.540000000005,0.013866253,-0.040045097459951884,0.013866253
2024-06-24,1592.21,1648.2514617848396,SELL,10462.440000000002,-0.006257323,-0.007172420723397077,-0.006257323
2024-06-25,1580.79,1610.8561837267875,BUY,10462.440000000002,0.01171087,0.007091391013354098,0.01171087
2024-06-26,1592.0,1578.3031874996423,SELL,10518.490000000002,-0.0015731554,-0.0033542713567838995,-0.0015731554
2024-06-27,1586.66,1577.7034034729004,SELL,10518.490000000002,-0.008980286,0.011892907113055127,-0.008980286
2024-06-28,1605.53,1584.856600703001,SELL,10518.490000000002,-0.0011366224,0.021967823709304612,-0.0011366224
2024-07-01,1640.8,1570.413203641176,SELL,10518.490000000002,-0.021872409,0.010165772793759187,-0.021872409
2024-07-02,1657.48,1625.1635543346404,SELL,10518.490000000002,-0.009529767,0.04328257354538212,-0.009529767
2024-07-03,1729.22,1630.8538656497,SELL,10518.490000000002,-0.016064212,-0.014983634239715049,-0.016064212
2024-07-05,1703.31,1712.6761013793946,SELL,10518.490000000002,-0.009567248,0.024980772730741837,-0.009567248
2024-07-08,1745.86,1692.9123994481563,SELL,10518.490000000002,-0.006104345,-0.00718843435326999,-0.006104345
2024-07-09,1733.31,1714.3783152079582,SELL,10518.490000000002,-0.018032188,0.00656547299675192,-0.018032188
2024-07-10,1744.69,1706.9377236253022,SELL,10518.490000000002,-0.015214985,-0.022204517708016902,-0.015214985
2024-07-11,1705.95,1695.634341443181,SELL,10518.490000000002,-0.02811713,-0.8995163984876462,-0.02811713
2024-07-15,171.42,1647.7230165570975,SELL,10518.490000000002,-0.03413173,-0.09007117022517797,-0.03413173
2024-07-17,155.98,162.02898803830146,SELL,10518.490000000002,-0.05478363,0.029106295678933414,-0.05478363
2024-07-18,160.52,159.8126127099991,BUY,10518.490000000002,0.02457124,-0.019748317966608583,0.02457124
2024-07-19,157.35,175.30579030036927,BUY,10334.630000000001,0.092111796,0.023578010803940286,0.092111796
2024-07-22,161.06,178.6396676659584,BUY,10549.810000000001,0.1353014,-0.06035018005712156,0.1353014
2024-07-24,151.34,210.43329277515411,BUY,9986.050000000001,0.30655223,-0.013743887934452359,0.30655223
2024-07-25,149.26,152.3429246735573,BUY,9865.410000000002,0.0066269636,0.015878333110009413,0.0066269636
2024-07-26,151.63,136.7580768120289,SELL,10002.87,-0.08375935,-0.009298951394842712,-0.08375935
2024-07-29,150.22,161.2142808365822,BUY,10002.87,0.06320829,-0.021302090267607432,0.06320829
2024-08-01,147.02,189.13721470594405,BUY,9814.070000000002,0.2590681,-0.021765746156985566,0.2590681
2024-08-02,143.82,161.4112648701668,BUY,9625.27,0.097886465,-0.012098456403837998,0.097886465
2024-08-05,142.08,112.99616270542144,SELL,9522.610000000002,-0.21432231,0.012950450450450289,-0.21432231
2024-08-06,143.92,85.66237335205079,SELL,9522.610000000002,-0.39708355,0.012645914396887337,-0.39708355
2024-08-08,145.74,79.15697106361388,SELL,9522.610000000002,-0.44999322,0.01729106628242061,-0.44999322
2024-08-09,148.26,68.20802184462548,SELL,9522.610000000002,-0.5319883,0.002428166734115944,-0.5319883
2024-08-12,148.62,113.5494554901123,SELL,9522.610000000002,-0.2341194,0.05073341407616727,-0.2341194
2024-08-13,156.16,77.69858450174331,SELL,9522.610000000002,-0.47719967,0.009797643442623016,-0.47719967
2024-08-14,157.69,110.94999557495117,SELL,9522.610000000002,-0.2895108,0.053522734479041205,-0.2895108
2024-08-15,166.13,103.35796475887298,SELL,9522.610000000002,-0.34454966,-0.0024679467886594697,-0.34454966
2024-08-16,165.72,115.6218424808979,SELL,9522.610000000002,-0.30402792,0.012008206613565164,-0.30402792
2024-08-19,167.71,101.99834419727325,SELL,9522.610000000002,-0.384514,-0.010494305646652104,-0.384514
2024-08-20,165.95,79.64629991173744,SELL,9522.610000000002,-0.5250951,-0.0010244049412473366,-0.5250951
2024-08-21,165.78,70.57584488987922,SELL,9522.610000000002,-0.5747162,-0.020750392085896904,-0.5747162
2024-08-22,162.34,17.30968146443367,SELL,9522.610000000002,-0.89558643,0.024762843415054855,-0.89558643
2024-08-23,166.36,67.25290848016739,SELL,9522.610000000002,-0.58572805,-0.0405145467660496,-0.58572805
