Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-21,338.21539306640625,342.3280042964143,SELL,10000.0,-0.008055106,0.02934793499132656,-0.008055106
2025-05-22,340.86181640625,334.9736512474519,SELL,10000.0,-0.009584822,0.014258985857705096,-0.009584822
2025-05-23,339.0844116210937,337.97945106663974,SELL,10000.0,-0.008456117,0.027795868071827875,-0.008456117
2025-05-27,347.1025695800781,337.05261940861595,SELL,10000.0,-0.0059919828,-0.01139959775950985,-0.0059919828
2025-05-28,345.1078796386719,345.78400230008083,SELL,10000.0,-0.0037987544,-0.01643756430245047,-0.0037987544
2025-05-29,347.3790283203125,344.0745440522642,SELL,10000.0,-0.002994218,-0.008443352459113441,-0.002994218
2025-05-30,343.6662292480469,346.3938445123131,SELL,10000.0,-0.0028360547,0.004671763111576076,-0.0028360547
2025-06-02,340.34832763671875,342.98802106474795,HOLD,10000.0,-0.0019734572,0.015347657201394917,-0.0019734572
2025-06-03,345.0189819335937,340.2633684399043,HOLD,10000.0,-0.00024963915,0.014371777455202779,-0.00024963915
2025-06-04,344.94989013671875,345.1946870196843,HOLD,10000.0,0.0005092425,0.03346608738779551,0.0005092425
2025-06-05,344.58453369140625,345.42422354015434,HOLD,10000.0,0.0013750687,0.037461098628152896,0.0013750687
2025-06-06,348.9194641113281,345.28692089815013,BUY,9997.557563751221,0.0020384083,0.03776694304635715,0.0020384083
2025-06-09,353.580322265625,349.9415643205175,BUY,10028.415669219972,0.002929333,0.011187322178560248,0.002929333
2025-06-10,354.0740051269531,354.71521260464215,BUY,10032.923567535401,0.003209671,-0.005975672085919516,0.003209671
2025-06-11,358.58673095703125,355.29776807196686,BUY,10104.05142062378,0.0034562503,-0.0027364032922426403,0.0034562503
2025-06-12,356.4340515136719,359.3348439190959,BUY,10063.150511199952,0.0020862957,-0.01272253045442292,0.0020862957
2025-06-13,352.5730895996094,356.97117076458744,HOLD,9989.792234832765,0.001506976,0.010844174705189669,0.001506976
2025-06-16,357.8955078125,353.0264670750512,HOLD,10090.918180877687,0.0012859296,-0.007442946484017544,0.0012859296
