Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-28,81.3240966796875,82.65093412091937,BUY,9997.56027709961,0.0047921287,0.02760608982245661,0.0047921287
2025-05-29,82.3048324584961,81.3608197782305,HOLD,10026.982350463868,0.0004515308,0.030941260226656216,0.0004515308
2025-05-30,82.06444549560547,83.74581811769986,BUY,10017.88325933075,0.01750788,0.008275132579544079,0.01750788
2025-06-02,83.38170623779297,81.87665401748018,SELL,10085.196627479554,-0.0022883252,-0.01903197487898625,-0.0022883252
2025-06-03,84.52590942382812,83.36114560850228,HOLD,10111.513300758363,-0.00024656695,-0.009371538456892873,-0.00024656695
2025-06-04,82.64134979248047,84.21894078640435,SELL,10066.26767819214,-0.0036316356,0.027538535130843245,-0.0036316356
2025-06-05,82.06444549560547,83.36080350089014,BUY,10063.805744827272,0.008705759,0.07884957979475593,0.008705759
2025-06-06,83.86247253417969,81.30483698852095,SELL,10115.230681808473,-0.0092562325,0.08298053771547045,-0.0092562325
2025-06-09,84.6509017944336,84.24274548652829,BUY,10112.775805656434,0.00453453,0.09182267982633366,0.00453453
2025-06-10,87.6700210571289,85.4455413714295,BUY,10198.4891938324,0.009387195,0.07701410179552991,0.009387195
2025-06-11,89.75648498535156,86.17720955994628,SELL,10300.209452178957,-0.017027631,0.021877843160007755,-0.017027631
2025-06-12,91.04490661621094,89.72786835204442,HOLD,10327.266306427004,-0.00031883176,0.01070655101512427,-0.00031883176
2025-06-13,93.2275161743164,90.70251987617394,SELL,10371.143329307557,-0.0037606596,-0.040585848043895895,-0.0037606596
2025-06-16,91.3429718017578,93.69795426841483,BUY,10368.585726097108,0.0050460957,-0.003943816056381628,0.0050460957
2025-06-17,91.82371520996094,93.41000664164493,BUY,10380.118243507386,0.022629395,-0.04916115712134492,0.022629395
2025-06-18,90.18917083740234,90.78463244557133,SELL,10297.500272468567,-0.011316046,-0.056788122715617326,-0.011316046
2025-06-20,91.04490661621094,88.91514223157628,SELL,10313.558780784608,-0.0141262,-0.07556936252757131,-0.0141262
2025-06-23,88.17961883544922,89.82404036396292,SELL,10313.558780784608,-0.013409512,-0.010130072423548627,-0.013409512
2025-06-24,85.94892883300781,87.55600979356723,SELL,10313.558780784608,-0.0070720366,0.00964482401341178,-0.0070720366
2025-06-25,85.57393646240234,84.97749866651884,SELL,10313.558780784608,-0.011302432,0.009523372345045774,-0.011302432
2025-06-26,87.39118957519531,85.78302042504947,BUY,10311.024436286927,0.0024433315,0.014428946912571858,0.0024433315
2025-06-27,86.69889831542969,87.63848829962444,BUY,10289.040613990785,0.0028297706,0.05829505971458752,0.0028297706
2025-06-30,86.28544616699219,87.37137586090466,BUY,10266.573987281801,0.00775647,0.05600888417608427,0.00775647
2025-07-01,88.44884490966797,87.41407016458834,BUY,10410.460316902161,0.013080131,0.007776502676521043,0.013080131
2025-07-02,90.8045425415039,90.2577183291105,BUY,10596.5604298172,0.020451086,0.018655969287885966,0.020451086
2025-07-03,90.07379150390624,93.1775323166139,BUY,10538.831097846985,0.026132908,0.01217745107420224,0.026132908
2025-07-07,88.98728942871094,90.89716391638648,BUY,10452.997433906556,0.00914112,0.04021891464644831,0.00914112
2025-07-08,92.10255432128906,90.21368259710835,BUY,10699.103360420228,0.013781661,-0.0024069090619921797,0.013781661
2025-07-09,90.8910675048828,93.34387237864212,BUY,10603.395901924134,0.013477568,-0.004881132973519593,0.013477568
2025-07-10,91.69873046875,91.77395150000665,BUY,10667.201276069642,0.009713611,-0.03796956855517636,0.009713611
2025-07-11,91.9294891357422,93.79394050466362,BUY,10685.431210762026,0.022848822,-0.054352690888850926,0.022848822
2025-07-14,90.544921875,93.46596361336562,BUY,10576.050397163392,0.016713593,-0.01825486988272635,0.016713593
2025-07-15,88.98728942871094,91.96405776659958,BUY,10452.997433906556,0.015673248,-0.011998893984052482,0.015673248
2025-07-16,87.98731994628906,91.5564255330064,BUY,10373.999844795228,0.028870765,-0.006658089133522059,0.028870765
2025-07-17,89.23727416992188,90.43004977468627,BUY,10472.74622846222,0.027762296,0.0022202966387982175,0.027762296
2025-07-18,88.11231231689453,90.69175333358726,BUY,10383.87424207306,0.016299041,0.043584506823103525,0.016299041
2025-07-21,87.4969482421875,90.22906034025254,BUY,10335.260480171204,0.024023267,0.06055730567003207,0.024023267
2025-07-22,89.40074157714844,88.80204774759477,BUY,10485.660153633118,0.014915993,0.02556077170178814,0.014915993
2025-07-23,91.38143157958984,91.97566506525436,BUY,10642.13466382599,0.028801981,0.025501409712565776,0.028801981
2025-07-24,91.9391098022461,93.0680419095961,BUY,10686.191243415833,0.018456822,0.0308281256661152,0.018456822
2025-07-25,91.29490661621094,94.21787928256435,BUY,10635.299191719056,0.02478559,0.02298910901970646,0.02478559
2025-07-28,93.28520965576172,94.85419219009782,BUY,10792.533131843567,0.038986694,-0.022136700558000228,0.038986694
