Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-27,111.47045135498048,111.32034341741475,SELL,10000.0,-0.0022896524,0.012184371634632034,-0.0022896524
2025-05-28,109.6218719482422,111.6483154286607,HOLD,10000.0,0.0015956254,0.02506855205654585,0.0015956254
2025-05-29,110.57969665527344,109.25059854937537,SELL,10000.0,-0.003386885,0.011533233378605175,-0.003386885
2025-05-30,112.75393676757812,111.13351736016011,BUY,9997.519413391114,0.00500829,-0.015241769643245699,0.00500829
2025-06-02,112.28459930419922,112.848509871852,HOLD,9987.193989196778,0.0008387021,-0.01341549596741247,0.0008387021
2025-06-03,111.80570220947266,113.24779695049892,BUY,9974.869361877441,0.008578196,-0.01354510485069664,0.008578196
2025-06-04,111.08734130859376,111.8257745966348,HOLD,9947.571647644043,0.00017947372,-0.004622570230854282,0.00017947372
2025-06-05,110.85745239257812,111.50465671857093,BUY,9937.505579406738,0.0037566083,0.005567104238093412,0.0037566083
2025-06-06,110.36898040771484,111.36818170101833,BUY,9912.088659339905,0.0046070553,0.010843299730167013,0.0046070553
2025-06-09,110.59884643554688,110.10580736033853,SELL,9923.217580360413,-0.002384461,0.017540077751502427,-0.002384461
2025-06-10,111.42256927490234,110.0720303766193,SELL,9951.912564308168,-0.0047633173,0.0051881908797385586,-0.0047633173
2025-06-11,111.44172668457033,110.40338168584913,SELL,9950.97756919098,-0.009147068,-0.009741994343616268,-0.009147068
2025-06-12,112.33248901367188,110.63460989190845,SELL,9957.98343775177,-0.0072425134,-0.026192575608016466,-0.0072425134
2025-06-13,111.93021392822266,112.53510938778709,HOLD,9957.98343775177,0.0018037526,-0.02404363937247225,0.0018037526
2025-06-16,110.53179931640624,112.0921193618542,HOLD,9957.98343775177,0.0014465292,0.0,0.0014465292
2025-06-17,109.9475326538086,110.72922157635183,HOLD,9957.98343775177,0.0017860692,0.022060385185227214,0.0017860692
2025-06-18,109.74639892578124,110.39675399472435,BUY,9955.569016975403,0.0040857624,0.024927782687794442,0.0040857624
2025-06-20,110.53179931640624,109.69448641408233,HOLD,9972.847825569153,-0.0004730306,0.005851186648675734,-0.0004730306
2025-06-23,112.03557586669922,109.87388103752527,SELL,10003.466127006532,-0.0059522875,-0.007646172707718787,-0.0059522875
2025-06-24,112.01641082763672,111.53897824291425,SELL,10003.466127006532,-0.0044324724,-0.0003223591400917441,-0.0044324724
2025-06-25,111.05860137939452,111.57666344247218,SELL,10003.466127006532,-0.0039257547,0.021739926323809805,-0.0039257547
2025-06-26,111.345947265625,111.51287863124979,BUY,10001.016516166688,0.0040904684,0.028253978196034084,0.0040904684
2025-06-27,111.9876708984375,111.26359201314335,HOLD,10015.134436088563,-0.0007396523,0.0015169546154611344,-0.0007396523
2025-06-30,113.0221176147461,112.72890132085013,BUY,10036.083909965517,0.0066189137,-0.007491074940032019,0.0066189137
2025-07-01,113.8554229736328,113.84770670878424,BUY,10066.383248527527,0.007304611,-0.016806204033252812,0.007304611
2025-07-02,112.12177276611328,113.61064069827442,SELL,9977.234059150698,-0.0021499274,-0.007693079948627561,-0.0021499274
2025-07-03,112.36122131347656,113.14434866276315,BUY,9982.253200157167,0.009120248,-0.001463426117682397,0.009120248
2025-07-07,112.34207153320312,112.17464260670113,HOLD,9981.42975960541,-0.0016605306,0.009577156476598687,-0.0016605306
2025-07-08,111.40340423583984,112.73205293691717,BUY,9939.841628372196,0.0034713466,0.01245792253286461,0.0034713466
2025-07-09,112.22713470458984,112.65334801753488,BUY,9984.323073684696,0.011219971,0.008147918004453521,0.011219971
2025-07-10,113.18495178222656,112.81819758549318,BUY,10036.04519587708,0.005266684,-0.011275159599795033,0.005266684
2025-07-11,112.50489807128906,113.7647464946549,BUY,9999.322295486454,0.00512253,0.0034541658402237364,0.00512253
2025-07-14,112.95507049560548,112.88978499947189,BUY,10023.63160639954,0.003421036,-0.004905407665059316,0.003421036
2025-07-15,112.16008758544922,113.43917473488547,BUY,9980.702529251103,0.004285836,0.013578666235334182,0.004285836
2025-07-16,112.82097625732422,113.16710199792215,BUY,10016.390517532353,0.008978354,0.02114825737791057,0.008978354
2025-07-17,112.50489807128906,113.60383360218839,BUY,9999.322295486454,0.006938922,0.03480175727018928,0.006938922
