Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-01-22,39.22,40.54017189502716,BUY,10000.0,0.002477033,0.0005099439061704292,0.002477033
2025-01-23,39.24,38.97032958745956,SELL,10004.580000000002,-0.0063659013,0.0035677879714577365,-0.0063659013
2025-01-24,39.38,39.18409126281738,SELL,10004.580000000002,-0.0014247851,0.033519553072625774,-0.0014247851
2025-01-27,40.7,39.64660318136215,BUY,10004.580000000002,0.0067700655,-0.021867321867321876,0.0067700655
2025-01-28,39.81,40.46793511509895,SELL,9807.890000000001,-0.0057018134,-0.006028636021100264,-0.0057018134
2025-01-29,39.57,39.91723433017731,BUY,9807.890000000001,0.002693687,0.011372251705837888,0.002693687
2025-01-30,40.02,39.52915217220783,SELL,9908.240000000002,-0.0010322985,-0.0004997501249376368,-0.0010322985
2025-01-31,40.0,39.834861280918126,SELL,9908.240000000002,-0.004626132,0.014250000000000096,-0.004626132
2025-02-03,40.57,39.93206024169922,SELL,9908.240000000002,-0.0016984974,-0.0007394626571358698,-0.0016984974
2025-02-04,40.54,40.31557324945927,SELL,9908.240000000002,-0.00627131,0.012333497779970504,-0.00627131
2025-02-05,41.04,40.55430492401123,BUY,9908.240000000002,0.00035287108,0.0019493177387914784,0.00035287108
2025-02-06,41.12,40.842613277435305,SELL,9925.6,-0.004809618,0.004620622568093591,-0.004809618
2025-02-07,41.31,41.07416001319885,SELL,9925.6,-0.0011147794,0.011861534737351631,-0.0011147794
2025-02-10,41.8,40.9348193192482,SELL,9925.6,-0.009082053,0.013397129186602852,-0.009082053
2025-02-11,42.36,41.80984132289886,BUY,9925.6,0.00023540149,0.01251180358829096,0.00023540149
2025-02-12,42.89,42.2013937997818,SELL,10036.9,-0.003744255,0.0018652366519000818,-0.003744255
2025-02-13,42.97,42.71604682147503,SELL,10036.9,-0.0040558144,-0.0027926460321153757,-0.0040558144
2025-02-14,42.85,42.90591336369514,SELL,10036.9,-0.0014914197,-0.0035005834305716905,-0.0014914197
2025-02-18,42.7,42.57343116402626,SELL,10036.9,-0.0064543686,-0.0011709601873537423,-0.0064543686
2025-02-19,42.65,42.75579917430878,BUY,10036.9,0.0013067377,0.012192262602579218,0.0013067377
2025-02-20,43.17,42.47787437140941,SELL,10146.62,-0.004035755,0.005096131572851492,-0.004035755
2025-02-21,43.39,43.07895999848843,SELL,10146.62,-0.0021088743,-0.0009218713989398442,-0.0021088743
2025-02-24,43.35,43.4491888153553,BUY,10146.62,0.001364158,0.01591695501730106,0.001364158
2025-02-25,44.04,42.75538373887539,SELL,10291.52,-0.013716643,0.0004541326067213358,-0.013716643
2025-02-26,44.06,43.99436719894409,SELL,10291.52,-0.0010361404,-0.006128007262823476,-0.0010361404
2025-02-27,43.79,43.938922567367555,SELL,10291.52,-0.0027479941,0.00936286823475685,-0.0027479941
2025-02-28,44.2,43.67226156771183,SELL,10291.52,-0.0026886899,0.007918552036199067,-0.0026886899
2025-03-03,44.55,44.043796360492706,SELL,10291.52,-0.0035340067,-0.019528619528619506,-0.0035340067
2025-03-04,43.68,44.418914169073105,SELL,10291.52,-0.002942464,-0.0073260073260073,-0.002942464
2025-03-05,43.36,43.18652675628662,SELL,10291.52,-0.011297454,-0.011070110701106972,-0.011297454
2025-03-06,42.88,43.42157211303711,BUY,10291.52,0.0014200736,0.0053638059701490715,0.0014200736
2025-03-07,43.11,42.9097705078125,BUY,10341.2,0.0006942585,0.015077708188355299,0.0006942585
2025-03-10,43.76,43.21667255759239,BUY,10481.6,0.002474437,-0.00822669104204754,0.002474437
2025-03-11,43.4,43.77749125480651,BUY,10403.84,0.00039973113,-0.018202764976958496,0.00039973113
2025-03-12,42.61,43.42912266254425,BUY,10233.2,0.00067101326,0.020183055620746293,0.00067101326
2025-03-13,43.47,42.73555527448654,BUY,10418.960000000001,0.0029466623,0.01656314699792949,0.0029466623
2025-03-14,44.19,43.318034443259236,SELL,10574.48,-0.003495887,0.004525910839556557,-0.003495887
2025-03-17,44.39,44.22057465076446,BUY,10574.48,0.0006918789,0.0006758278891643154,0.0006918789
2025-03-18,44.42,44.120419616699216,SELL,10580.9,-0.0060730204,0.00045024763619982977,-0.0060730204
2025-03-19,44.44,44.892063322067266,BUY,10580.9,0.010627328,0.0033753375337535196,0.010627328
2025-03-20,44.59,44.19008814811706,SELL,10613.0,-0.00562355,-0.01771697690065055,-0.00562355
2025-03-21,43.8,44.661850184202194,BUY,10613.0,0.001611305,-0.005022831050228271,0.001611305
2025-03-24,43.58,43.78183225393295,SELL,10565.04,-0.00041480543,-0.01881597062872875,-0.00041480543
2025-03-25,42.76,43.74818229436874,BUY,10565.04,0.0038592215,0.02946679139382602,0.0038592215
2025-03-26,44.02,42.76086145877838,HOLD,10844.760000000002,2.0093466e-05,0.005224897773739245,2.0093466e-05
2025-03-27,44.25,44.17175513982773,BUY,10895.820000000002,0.0034473669,0.010395480225988685,0.0034473669
2025-03-28,44.71,44.765669256448746,BUY,10997.940000000002,0.011653553,0.030641914560501027,0.011653553
2025-03-31,46.08,44.96500654578209,BUY,11302.080000000002,0.005703515,-0.003472222222222099,0.005703515
2025-04-01,45.92,46.513421630859376,BUY,11266.560000000001,0.009405814,0.001088850174215894,0.009405814
2025-04-02,45.97,46.206530323028566,BUY,11277.660000000002,0.0062398235,-0.013487056776158357,0.0062398235
2025-04-04,45.35,46.389360905885695,BUY,11140.020000000002,0.009122513,-0.01455347298787224,0.009122513
2025-04-07,44.69,45.41345728635788,BUY,10993.500000000002,0.0013992367,-0.0044752741105391625,0.0013992367
2025-04-08,44.49,44.92642215967178,BUY,10949.100000000002,0.0052902466,-0.004270622611822983,0.0052902466
2025-04-09,44.3,44.7360933315754,BUY,10906.92,0.005531437,0.018510158013544054,0.005531437
2025-04-10,45.12,44.91915166378021,BUY,11088.960000000001,0.0139763355,0.019503546099290947,0.0139763355
2025-04-11,46.0,45.38296577453613,BUY,11284.320000000002,0.0058280905,0.018695652173913002,0.0058280905
2025-04-14,46.86,46.190265417099,BUY,11475.240000000002,0.004136239,-0.002560819462227859,0.004136239
2025-04-15,46.74,46.60576605677605,SELL,11448.600000000002,-0.005425369,-0.00492083868207116,-0.005425369
2025-04-16,46.51,46.595232396125795,SELL,11448.600000000002,-0.003097269,0.016125564394753766,-0.003097269
2025-04-17,47.26,46.26955218970775,SELL,11448.600000000002,-0.005169785,-0.021794329242488364,-0.005169785
2025-04-21,46.23,47.312715756893155,BUY,11448.600000000002,0.0011154809,0.024659312134977407,0.0011154809
2025-04-22,47.37,46.07313635766506,SELL,11701.680000000002,-0.003393107,-0.012032932235592209,-0.003393107
