Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-08,647.9146728515625,628.2141902137955,SELL,10000.0,-0.007812348,0.0012583066781966575,-0.007812348
2025-05-09,645.7421264648438,650.0355359318055,BUY,9998.062773620606,0.0032733765,-0.0019091477004577321,0.0032733765
2025-05-12,654.0571899414062,644.7857075869724,HOLD,10023.007964050294,-0.0014810984,-0.0018022592269728173,-0.0014810984
2025-05-13,648.6256713867188,653.3674310528259,HOLD,10006.713408386231,-0.001054582,0.025224837516143492,-0.001054582
2025-05-14,644.7051391601562,641.6245709535033,SELL,9993.017696289064,-0.010793731,0.03497612324369387,-0.010793731
2025-05-15,653.07958984375,631.0959912273975,SELL,9993.017696289064,-0.021109123,0.019346939443132687,-0.021109123
2025-05-16,661.93798828125,650.3118323685485,SELL,9993.017696289064,-0.0042380374,-0.02063050820649311,-0.0042380374
2025-05-19,662.5108032226562,667.1231879172265,BUY,9991.030163879397,0.007833349,-0.00975966039855312,0.007833349
2025-05-23,711.1675415039062,682.5232921818024,BUY,10135.578043640138,0.030207045,0.06341746762516116,0.030207045
2025-05-27,742.6013793945312,724.9830976603698,BUY,10291.262030334474,0.019426594,0.0024496185889813825,0.019426594
2025-05-28,745.0604248046875,740.4987340017105,SELL,10306.240166931153,-0.002831436,0.01785448017645484,-0.002831436
2025-05-29,747.7959594726562,741.0768431290489,SELL,10315.686713684083,-0.005346667,0.012847181428602875,-0.005346667
2025-05-30,744.0926513671875,745.7987276823515,SELL,10306.79191217041,-0.002670828,0.023007674365068648,-0.002670828
2025-06-02,755.46923828125,747.1048195666226,BUY,10304.525504455567,0.004048167,0.0028259527277658637,0.004048167
2025-06-03,755.143310546875,762.2640960883,BUY,10302.037434631347,0.00899422,0.012022353945733073,0.00899422
2025-06-04,757.2666015625,762.0788189432351,BUY,10311.139356506348,0.00918439,-0.004398271807407365,0.00918439
2025-06-05,757.0987548828125,769.3865929435706,BUY,10309.207330993653,0.016004948,-0.008246803113282181,0.016004948
2025-06-06,761.977294921875,775.3343246370932,BUY,10348.235651306153,0.024086148,-0.012817592356504932,0.024086148
2025-06-09,754.8668823242188,774.1067345288757,BUY,10291.352350524903,0.015918374,0.00349993960460653,0.015918374
2025-06-10,752.615234375,766.1083464074836,BUY,10273.339166931153,0.014891951,-0.015644069853284242,0.014891951
2025-06-11,755.232177734375,754.2062165678944,BUY,10294.274713806153,0.0021139244,0.0064669276851132594,0.0021139244
2025-06-12,756.674072265625,755.2894372540759,HOLD,10305.809870056153,7.577869e-05,-0.00258677951273995,7.577869e-05
2025-06-13,744.59619140625,744.5514320217335,SELL,10206.953034606935,-0.016020954,0.0016755193714045181,-0.016020954
2025-06-16,758.5208129882812,733.1569765125168,SELL,10275.059100891114,-0.015362985,-0.013432992683582994,-0.015362985
2025-06-17,755.38037109375,715.672285660512,SELL,10264.127014465334,-0.056489594,-0.0046840820710767825,-0.056489594
2025-06-18,745.4356689453125,709.0590908405429,SELL,10253.436876647951,-0.061321802,0.008236510190962738,-0.061321802
2025-06-20,751.6671752929688,724.245965361275,SELL,10253.436876647951,-0.028425923,-0.006629712380417641,-0.028425923
2025-06-23,753.0595703125,741.1100545614863,SELL,10253.436876647951,-0.014044963,0.021041810501756204,-0.014044963
2025-06-24,749.5834350585938,744.8907050299458,SELL,10253.436876647951,-0.010847558,0.03508696343368505,-0.010847558
2025-06-25,748.427978515625,747.1081929274987,SELL,10253.436876647951,-0.0033021828,0.06045198612061853,-0.0033021828
2025-06-26,763.2412719726562,749.4751485805318,HOLD,10253.436876647951,0.0013991455,0.01343534090333066,0.0013991455
2025-06-27,766.9050903320312,759.3416810874805,SELL,10253.436876647951,-0.0051092524,-0.005549870617013938,-0.0051092524
2025-06-30,777.8274536132812,768.9025742195445,BUY,10251.10339428711,0.0026046284,-0.013358406059940289,0.0026046284
2025-07-01,769.9072875976562,766.6754607248549,SELL,10225.033174377442,-0.014337374,0.007179505048511792,-0.014337374
2025-07-02,764.0709228515625,771.2028555001889,HOLD,10225.033174377442,0.001682767,0.013599175811220297,0.001682767
2025-07-03,770.9244384765625,765.2508295458101,HOLD,10225.033174377442,0.001544201,-0.019453171749224316,0.001544201
2025-07-07,773.8574829101562,757.772803224012,SELL,10225.033174377442,-0.017059557,-0.061506741226870866,-0.017059557
2025-07-08,771.7540283203125,754.0760546935599,SELL,10225.033174377442,-0.0255621,-0.05863733961495931,-0.0255621
2025-07-09,760.0120239257812,742.9563862463547,SELL,10225.033174377442,-0.037314504,-0.027579878342676754,-0.037314504
2025-07-10,739.5913696289062,724.7410253352682,SELL,10225.033174377442,-0.04640845,-0.0031699798659577667,-0.04640845
2025-07-11,739.5913696289062,709.3976773008217,SELL,10225.033174377442,-0.040824823,0.004690391559125048,-0.040824823
2025-07-14,744.3875122070312,716.3498436518239,SELL,10225.033174377442,-0.031424828,0.004364678479818147,-0.031424828
2025-07-15,737.6630249023438,714.8398746897692,SELL,10225.033174377442,-0.03969387,0.011023782398679464,-0.03969387
2025-07-16,742.3800048828125,707.5065949624914,SELL,10225.033174377442,-0.040881064,0.0216077957421948,-0.040881064
2025-07-17,746.9783935546875,710.2934240281174,SELL,10225.033174377442,-0.04322122,0.019582060542938543,-0.04322122
2025-07-18,744.2688598632812,717.9040909569303,SELL,10225.033174377442,-0.038922567,0.03930376126471218,-0.038922567
2025-07-21,755.2059326171875,720.3424124264311,SELL,10225.033174377442,-0.03214756,0.028473500931406156,-0.03214756
2025-07-22,758.2616577148438,732.2540357018443,SELL,10225.033174377442,-0.03039156,0.030627642015502818,-0.03039156
2025-07-23,767.3792114257812,735.112128369321,SELL,10225.033174377442,-0.03052974,0.033685269303113004,-0.03052974
2025-07-24,772.5313720703125,755.5666086814635,SELL,10225.033174377442,-0.01539344,0.03744674396205537,-0.01539344
