Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-28,202.8365936279297,210.3993568937767,BUY,9997.565960876465,0.026347889,0.0010734106768873247,0.026347889
2025-05-29,203.43862915039065,208.91373041151928,BUY,10002.959439483644,0.02996073,0.01606000481264593,0.02996073
2025-05-30,202.4023284912109,205.84193149465867,BUY,9979.78030934143,0.011813374,0.019058075536114865,0.011813374
2025-06-02,203.0339813232422,199.58914486339378,SELL,9995.030180862428,-0.013898982,0.01618613612170366,-0.013898982
2025-06-03,206.310791015625,198.14570193827876,SELL,10045.602338821413,-0.024076158,0.016435574418379163,-0.024076158
2025-06-04,205.72845458984372,203.66416396584827,SELL,10040.085884658814,-0.012828378,0.02927497570832676,-0.012828378
2025-06-05,205.8172912597656,206.77222764817995,BUY,10037.616077163697,0.0050735455,0.036240196547159806,0.0050735455
2025-06-06,209.14344787597656,206.6381944335662,BUY,10075.647665527345,0.0039884765,0.010509681953614498,0.0039884765
2025-06-09,210.58448791503903,206.54122428215942,SELL,10103.382492492678,-0.012442309,-0.0036165311249512413,-0.012442309
2025-06-10,211.7194976806641,205.48217568770266,SELL,10111.692104904178,-0.024229301,-0.036061545935481186,-0.024229301
2025-06-11,210.8509521484375,201.10758727123542,SELL,10111.692104904178,-0.05012249,-0.014878704635469598,-0.05012249
2025-06-12,210.0120086669922,202.72938016634725,SELL,10111.692104904178,-0.038518067,-0.023918417100454545,-0.038518067
2025-06-13,206.172607421875,197.2838825854842,SELL,10111.692104904178,-0.060606655,0.008499637533614594,-0.060606655
2025-06-16,208.60336303710935,197.5777769205888,SELL,10111.692104904178,-0.04168756,-0.009841678281663485,-0.04168756
2025-06-17,206.40618896484372,198.75561314885087,SELL,10111.692104904178,-0.04720801,0.020761896638667874,-0.04720801
2025-06-18,207.494873046875,199.15486394089382,SELL,10111.692104904178,-0.03513133,0.030916374940356553,-0.03513133
2025-06-20,207.05941772460935,200.32908898837923,SELL,10111.692104904178,-0.034534726,0.017926754259824026,-0.034534726
2025-06-23,209.59307861328125,201.50033208220518,SELL,10111.692104904178,-0.026847795,0.022845327318718623,-0.026847795
2025-06-24,212.2653350830078,212.46293146641256,BUY,10109.357186218265,0.0136924945,0.006377826574225503,0.0136924945
2025-06-25,209.79103088378903,215.89190433312615,BUY,10080.251720748904,0.017085057,0.02442360604688473,0.017085057
2025-06-26,213.1956787109375,210.790342093951,BUY,10147.065503219608,0.0047634086,0.016557807981940016,0.0047634086
2025-06-27,213.26495361328125,213.02457286036952,HOLD,10148.866650680546,-0.00080256746,0.03543739678057895,-0.00080256746
2025-06-30,213.5717315673828,214.16661153374298,BUY,10155.77501882935,0.0042279335,0.04867320486569776,0.0042279335
