Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-01-23,440.83,438.4212371366796,SELL,10000.0,-0.009441398245188444,-0.0035841480842955242,-0.009441398245188444
2025-01-24,439.25,444.64484557140224,BUY,10000.0,0.008653779396597913,0.0005463858850314196,0.008653779396597913
2025-01-27,439.49,436.8129407654379,SELL,10004.8,-0.005548228194791434,-0.009055951216182412,-0.005548228194791434
2025-01-28,435.51,439.64196863472694,BUY,10004.8,0.00034578405589864576,0.006452205460264926,0.00034578405589864576
2025-01-29,438.32,436.1336116975862,BUY,10060.999999999998,0.001431911316815201,0.01838839204234355,0.001431911316815201
2025-01-30,446.38,441.27338900009386,BUY,10222.199999999999,0.006737974539363598,-0.0005824633720148408,0.006737974539363598
2025-01-31,446.12,450.5588918999395,BUY,10216.999999999998,0.009361736412786212,0.01813413431363764,0.009361736412786212
2025-02-03,454.21,448.58770587696586,BUY,10378.799999999997,0.005531484526508095,0.0012989586314700041,0.005531484526508095
2025-02-04,454.8,457.5923964735419,BUY,10390.599999999999,0.0074467679565442665,-0.0024186455584872535,0.0074467679565442665
2025-02-05,453.7,455.1620355846757,BUY,10368.599999999999,0.000796032508081943,0.01538461538461533,0.000796032508081943
2025-02-06,460.68,454.86414128202387,BUY,10508.199999999999,0.0025658833635088148,-0.012221064513328161,0.0025658833635088148
2025-02-07,455.05,460.7116305158106,HOLD,10395.599999999999,6.866049277293792e-05,0.012767827711240631,6.866049277293792e-05
2025-02-10,460.86,453.5315443455387,SELL,10511.8,-0.00333689848249924,-0.0002603827626611598,-0.00333689848249924
2025-02-11,460.74,459.83540157523936,SELL,10511.8,-0.0022232314038116625,-0.004731518860962791,-0.0022232314038116625
2025-02-12,458.56,459.06656216880776,SELL,10511.8,-0.00363206544079579,0.005430041870202462,-0.00363206544079579
2025-02-13,461.05,458.7085847126108,BUY,10511.8,0.00032402458262999125,-0.008784296714022366,0.00032402458262999125
2025-02-14,457.0,459.082767479614,SELL,10430.8,-0.004266852880134549,0.019321663019693514,-0.004266852880134549
2025-02-18,465.83,457.37299202704713,BUY,10430.8,0.0008161751138887231,-0.008071614108151048,0.0008161751138887231
2025-02-19,462.07,464.3937348764877,SELL,10355.599999999999,-0.003083238785634746,-0.00036790962408295147,-0.003083238785634746
2025-02-20,461.9,459.8688798059651,SELL,10355.599999999999,-0.004763607665580795,-0.008443386014288734,-0.004763607665580795
2025-02-21,458.0,461.30872382837697,SELL,10355.599999999999,-0.0012800956302727665,0.001157205240174708,-0.0012800956302727665
2025-02-24,458.53,455.9676783133592,SELL,10355.599999999999,-0.004437383595285582,0.019540706169716374,-0.004437383595285582
2025-02-25,467.49,458.4119579489602,SELL,10355.599999999999,-0.0002574358298033907,-0.012706154142334558,-0.0002574358298033907
2025-02-26,461.55,467.0407936116553,SELL,10355.599999999999,-0.0009608898336749605,-0.002751597876719858,-0.0009608898336749605
2025-02-27,460.28,459.2569769318252,SELL,10355.599999999999,-0.004968092445400964,0.01470843834187896,-0.004968092445400964
2025-02-28,467.05,460.3425198878967,BUY,10355.599999999999,0.00013583012057165192,-0.01027727224065944,0.00013583012057165192
2025-03-03,462.25,465.71359522218313,SELL,10264.399999999998,-0.0028613741094463646,-0.001946998377501341,-0.0028613741094463646
2025-03-04,461.35,462.21168587498255,HOLD,10264.399999999998,-8.288615471596021e-05,0.014956107077056524,-8.288615471596021e-05
2025-03-05,468.25,461.5341771898634,BUY,10264.399999999998,0.0003992135902532731,-0.004463427656166474,0.0003992135902532731
2025-03-06,466.16,467.30936021072307,SELL,10224.689999999999,-0.002008840980837012,0.005598935987643604,-0.002008840980837012
2025-03-07,468.77,465.93821296638964,SELL,10224.689999999999,-0.0004757744843195143,-0.014314055933613457,-0.0004757744843195143
2025-03-10,462.06,468.16042438473255,SELL,10224.689999999999,-0.001300372496677308,-0.017292126563649757,-0.001300372496677308
2025-03-11,454.07,460.3891915752227,SELL,10224.689999999999,-0.0036159988416597814,-0.006386680467769246,-0.0036159988416597814
2025-03-12,451.17,454.2787796866448,BUY,10224.689999999999,0.0004597962575039134,0.0046324002039142,0.0004597962575039134
2025-03-13,453.26,451.7871055483134,BUY,10266.49,0.0013677894104513182,0.004941975907867491,0.0013677894104513182
2025-03-14,455.5,453.9189169011671,BUY,10311.289999999999,0.0014537283262742577,0.01055982436882541,0.0014537283262742577
2025-03-17,460.31,455.3966575297435,SELL,10407.49,-0.0002268769928793151,0.0008689796007037565,-0.0002268769928793151
2025-03-18,460.71,460.3135334255599,HOLD,10407.49,7.67618683048931e-06,-0.0020837403138633803,7.67618683048931e-06
2025-03-19,459.75,459.2611038594578,SELL,10407.49,-0.003144920102759112,-0.004350190320826508,-0.003144920102759112
2025-03-20,457.75,459.2489903060668,SELL,10407.49,-0.0010897437605942011,0.0012670671764063446,-0.0010897437605942011
2025-03-21,458.33,457.76889204473633,HOLD,10407.49,4.127153410445094e-05,0.0016581938777735505,4.127153410445094e-05
2025-03-24,459.09,457.86643967026635,SELL,10407.49,-0.001011411711503978,-0.003572284301553097,-0.001011411711503978
2025-03-25,457.45,457.8293222065027,SELL,10407.49,-0.002746036275016314,0.008700404415783236,-0.002746036275016314
2025-03-26,461.43,456.5984710927238,SELL,10407.49,-0.0018614688103096894,0.007151680644951641,-0.0018614688103096894
2025-03-27,464.73,460.8948655117367,SELL,10407.49,-0.0011597305945934898,-0.012093043272437765,-0.0011597305945934898
2025-03-28,459.11,464.2125567299961,SELL,10407.49,-0.0011134277322400752,0.014223170917645023,-0.0011134277322400752
2025-03-31,465.64,459.5926106339818,BUY,10407.49,0.0010511873711784823,0.0031139936431576754,0.0010511873711784823
2025-04-01,467.09,466.4907840099928,BUY,10436.49,0.0018271282750467832,0.005673424821768913,0.0018271282750467832
2025-04-02,469.74,466.7856441417108,SELL,10489.49,-0.0006516000305919009,-0.06765444714097169,-0.0006516000305919009
2025-04-04,437.96,469.51236873566927,SELL,10489.49,-0.0004845899100156848,-0.02762809388985288,-0.0004845899100156848
2025-04-07,425.86,437.1478488093806,SELL,10489.49,-0.0018543958138171742,0.047222091767247454,-0.0018543958138171742
2025-04-09,445.97,427.3069973816397,BUY,10489.49,0.0033978241244531113,-0.03159405341166455,0.0033978241244531113
2025-04-10,431.88,448.37512025562916,BUY,10193.599999999999,0.005393009071527579,0.02303880707603967,0.005393009071527579
2025-04-11,441.83,433.9380118582749,BUY,10402.55,0.004765240016381459,0.009505918565964278,0.004765240016381459
