Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2024-05-21,803.17,783.9781545710563,BUY,10000.0,0.00101914,-0.000323717270316326,0.00101914
2024-05-22,802.91,804.0873359596729,BUY,9997.140000000001,0.0011421028,0.0068999016079014375,0.0011421028
2024-05-23,808.45,803.936919053793,BUY,10058.080000000002,0.0012789626,-0.0012616735728865347,0.0012789626
2024-05-24,807.43,809.5080983817578,BUY,10046.86,0.00130884,0.0005325539056018069,0.00130884
2024-05-28,807.86,808.3360309636593,BUY,10051.590000000002,0.0011221494,0.004542866338226981,0.0011221494
2024-05-29,811.53,808.7791293525696,BUY,10091.960000000001,0.0011377116,0.004349808386627796,0.0011377116
2024-05-30,815.06,812.463269251585,BUY,10130.79,0.0011499965,0.006478050695654325,0.0011499965
2024-05-31,820.34,816.1592018914222,BUY,10188.87,0.001348618,0.013311553746007787,0.001348618
2024-06-03,831.26,821.2673629450799,BUY,10308.990000000002,0.001130423,0.0015999807521112075,0.001130423
2024-06-04,832.59,832.1271708416939,BUY,10323.62,0.0010432532,-0.0009968892251889239,0.0010432532
2024-06-05,831.76,833.3832256793976,BUY,10314.490000000002,0.0009526992,0.006648552467057867,0.0009526992
2024-06-06,837.29,832.5017674732209,BUY,10375.32,0.000891771,0.01516798241947237,0.000891771
2024-06-07,849.99,837.9922824811935,BUY,10515.02,0.00083872565,0.01765903128272095,0.00083872565
2024-06-10,865.0,850.791798208952,BUY,10680.130000000001,0.00094326737,0.0009479768786126996,0.00094326737
2024-06-11,865.82,865.888963341713,BUY,10689.150000000001,0.0010276808,0.0017093622230948124,0.0010276808
2024-06-12,867.3,866.4872771334649,BUY,10705.43,0.0007707073,0.018482647296206745,0.0007707073
2024-06-13,883.33,867.6869895815848,BUY,10881.760000000002,0.00044623882,-0.005524549149242053,0.00044623882
2024-06-14,878.45,883.5459726417065,BUY,10828.080000000002,0.00024454473,0.0074676987876372,0.00024454473
2024-06-17,885.01,878.4569114804268,HOLD,10900.240000000002,7.813058e-06,0.007288053242336279,7.813058e-06
2024-06-18,891.46,884.9154707336426,SELL,10971.190000000002,-0.00010678735,-0.00613600161532768,-0.00010678735
2024-06-20,885.99,891.2197759568692,SELL,10971.190000000002,-0.00026948765,-0.0023815167214077393,-0.00026948765
2024-06-21,883.88,884.835487035513,SELL,10971.190000000002,-0.001303062,0.007048468117843987,-0.001303062
2024-06-24,890.11,882.2272705197335,SELL,10971.190000000002,-0.0018698556,0.016290121445664107,-0.0018698556
2024-06-25,904.61,888.2711774867773,SELL,10971.190000000002,-0.0020658534,-0.003703253335691658,-0.0020658534
2024-06-26,901.26,902.5379483741522,SELL,10971.190000000002,-0.0022905504,0.008632359141646173,-0.0022905504
2024-06-27,909.04,899.0594433259964,SELL,10971.190000000002,-0.002441653,-0.004026225468626188,-0.002441653
2024-06-28,905.38,906.7093179845809,SELL,10971.190000000002,-0.002563883,0.009929532351057091,-0.002563883
2024-07-01,914.37,902.9183392524719,SELL,10971.190000000002,-0.002718936,-0.008377352712796715,-0.002718936
2024-07-02,906.71,911.7762572318316,SELL,10971.190000000002,-0.00283664,-0.009495869682698999,-0.00283664
2024-07-03,898.1,904.1151793080569,SELL,10971.190000000002,-0.0028618067,0.018338715065137512,-0.0028618067
2024-07-05,914.57,895.4961484313011,SELL,10971.190000000002,-0.0028992705,0.0037503963611313917,-0.0028992705
2024-07-08,918.0,911.943800020218,SELL,10971.190000000002,-0.0028714836,0.015795206971677578,-0.0028714836
2024-07-09,932.5,915.3271261453629,SELL,10971.190000000002,-0.0029116469,0.007806970509383282,-0.0029116469
2024-07-10,939.78,929.817922860384,SELL,10971.190000000002,-0.0028762212,-0.006001404584051517,-0.0028762212
2024-07-11,934.14,937.1243728673458,SELL,10971.190000000002,-0.0028257812,0.015265377780632416,-0.0028257812
2024-07-12,948.4,931.3166807448864,SELL,10971.190000000002,-0.0030223764,0.002172079291438367,-0.0030223764
2024-07-15,950.46,945.5967811822891,SELL,10971.190000000002,-0.0029557105,-0.009321802074784835,-0.0029557105
2024-07-16,941.6,947.6394186544419,SELL,10971.190000000002,-0.0029675863,-0.09844944774851316,-0.0029675863
2024-07-18,848.9,938.6988519668579,SELL,10971.190000000002,-0.003081061,0.010095417599246037,-0.003081061
2024-07-19,857.47,846.2920581459999,SELL,10971.190000000002,-0.00307213,0.009912883249559856,-0.00307213
2024-07-22,865.97,855.1101862597466,SELL,10971.190000000002,-0.0027520405,0.014226820790558481,-0.0027520405
2024-07-23,878.29,863.5539660310745,SELL,10971.190000000002,-0.0027899698,-0.06501269512347851,-0.0027899698
2024-07-25,821.19,875.8858187431097,SELL,10971.190000000002,-0.0027373575,-0.020178034316053584,-0.0027373575
2024-07-26,804.62,819.0881781131029,SELL,10971.190000000002,-0.0025594928,0.003939747955556516,-0.0025594928
2024-07-29,807.79,802.8536187827588,SELL,10971.190000000002,-0.002195285,-0.021763081989130795,-0.002195285
2024-07-30,790.21,806.227596231699,SELL,10971.190000000002,-0.0019341559,0.017792738639095917,-0.0019341559
2024-07-31,804.27,788.7843244594336,SELL,10971.190000000002,-0.0018041852,0.03502555112089234,-0.0018041852
2024-08-01,832.44,803.2516482299566,SELL,10971.190000000002,-0.0012661597,-0.03361203209840946,-0.0012661597
2024-08-02,804.46,831.7406939077378,SELL,10971.190000000002,-0.0008400506,-0.03629764065335761,-0.0008400506
2024-08-05,775.26,804.228211863041,SELL,10971.190000000002,-0.00028812597,0.023114825993860055,-0.00028812597
2024-08-06,793.18,775.2476621711254,HOLD,10971.190000000002,-1.5918555e-05,0.12418366575052331,-1.5918555e-05
2024-08-09,891.68,793.2671791791915,BUY,10971.190000000002,0.00010992373,-0.008186793468508813,0.00010992373
2024-08-12,884.38,891.5486706256866,SELL,10890.890000000003,-0.00014726566,0.026764512992152545,-0.00014726566
2024-08-13,908.05,883.7470204257964,SELL,10890.890000000003,-0.000715741,0.02602279610153624,-0.000715741
