Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-23,215.473876953125,218.86606319127267,BUY,9997.629787353515,0.003576726771203129,0.017761271279405588,0.003576726771203129
2025-05-27,220.0938720703125,217.59034028589,BUY,10046.688982666015,0.009822366231547428,-0.00037233971559261095,0.009822366231547428
2025-05-28,218.83653259277344,217.26443226578226,SELL,10020.392330734254,-0.012855604646849622,0.0048534895283742895,-0.012855604646849622
2025-05-29,219.2361297607422,216.22345459221822,SELL,10021.835219039918,-0.011940775928020354,0.019044979393665097,-0.011940775928020354
2025-05-30,220.0159149169922,219.803600455908,BUY,10019.41504397583,0.0025883995296994236,0.013349234597624618,0.0025883995296994236
2025-06-02,219.81121826171875,221.02386499383533,BUY,10015.40489102173,0.004581259847604343,0.01048014717644783,0.004581259847604343
2025-06-03,223.00819396972656,220.75954637020055,BUY,10074.80938031006,0.004314284393586629,-0.018139232882529117,0.004314284393586629
2025-06-04,222.60855102539065,223.9490079310482,BUY,10063.705263946536,0.004218741673004766,-0.02557962421258728,0.004218741673004766
2025-06-05,221.82879638671875,222.96781400716773,HOLD,10040.312624786378,0.0016138777244730557,-0.01490853233253684,0.0016138777244730557
2025-06-06,219.5675506591797,222.7119429401571,BUY,9972.475252960206,0.00398120788564664,-0.02037673951602598,0.00398120788564664
2025-06-09,217.94956970214844,220.2535809888669,BUY,9923.935824249269,0.0031244613679373336,-0.0006312238713380709,0.0031244613679373336
2025-06-10,219.1971435546875,217.87416791570925,HOLD,9961.36303982544,-0.0003459597857533945,-0.0442547416265203,-0.0003459597857533945
2025-06-11,215.99044799804688,216.23033503432876,SELL,9862.786278198244,-0.013534886779300315,-0.03112189549490309,-0.013534886779300315
2025-06-12,217.8423614501953,216.4238438535619,BUY,9896.665579620363,0.002006551028214539,-0.06502562897325433,0.002006551028214539
2025-06-13,211.77005004882807,218.80429429923598,BUY,9744.857794586182,0.004415729074166159,-0.03469876182164561,0.004415729074166159
2025-06-16,210.61016845703125,212.1313717631638,HOLD,9715.860754791262,0.0017061983706026687,-0.01812837799465002,0.0017061983706026687
