Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-19,59.39302444458008,60.679122695268624,BUY,9997.505492973327,0.004979826684492894,-0.013035801888294719,0.004979826684492894
2025-05-20,59.85225296020508,60.24006788292871,BUY,10014.937670787811,0.014261665343192086,-0.045068982230067306,0.014261665343192086
2025-05-21,57.3839225769043,59.92398642402738,HOLD,9834.749552806854,0.001198508999652932,0.049397108617228215,0.001198508999652932
2025-05-22,58.66591644287109,57.22673991366558,SELL,9925.87113653183,-0.002739141142330646,0.008090629945807793,-0.002739141142330646
2025-05-23,57.42218780517578,58.54417780213538,SELL,9885.535460941315,-0.0020751170034863002,0.025151746382002453,-0.0020751170034863002
2025-05-27,60.11056518554688,57.857427291768026,BUY,9883.070927768707,0.00757963956491761,-0.038575502900670536,0.00757963956491761
2025-05-28,59.10601043701172,60.1975420043622,HOLD,9841.884183078766,0.0014469472803465108,0.0034929033771929213,0.0014469472803465108
2025-05-29,58.78072738647461,61.1272046143677,BUY,9826.725375457765,0.03419608534583692,0.02379996487611719,0.03419608534583692
2025-05-30,57.9675178527832,59.80059507730249,BUY,9766.783068603516,0.017350375474641473,0.047103072590722085,0.017350375474641473
2025-06-02,59.29656219482422,59.30773564395281,BUY,9893.363283882141,0.023120151436763024,0.020049847086867398,0.023120151436763024
2025-06-03,60.067020416259766,59.3882609098343,HOLD,9980.425062904358,0.0015464423503810955,0.007828597331478993,0.0015464423503810955
2025-06-04,60.45225524902344,60.88580779507342,BUY,10023.956599006653,0.013631230134931373,-0.016367119619299583,0.013631230134931373
2025-06-05,60.35594940185547,61.77815446898905,BUY,10013.074038276673,0.021932998438251427,0.023231930458351154,0.021932998438251427
2025-06-06,60.481143951416016,61.474022808076946,BUY,10027.221022377014,0.018524659413063756,0.006211851697941827,0.018524659413063756
2025-06-09,59.62400817871094,61.629542649315646,BUY,9930.36468006134,0.01898771456475965,0.017957324327969156,0.01898771456475965
2025-06-10,61.51163864135742,61.08055441124218,BUY,10143.666922340393,0.02442885470170915,-0.06610686192509702,0.02442885470170915
2025-06-11,60.77969741821289,62.49501747863833,BUY,10060.957564125061,0.015986874337952376,-0.023514199768385903,0.015986874337952376
2025-06-12,60.481143951416016,61.638858449855874,BUY,10027.221022377014,0.014135658256593096,-0.055462902439957364,0.014135658256593096
2025-06-13,58.294960021972656,61.58195286331675,BUY,9780.182238349915,0.01820086129298419,-0.01951728953472799,0.01820086129298419
2025-06-16,59.6143798828125,59.13212985508206,BUY,9929.276682624817,0.014360929877880561,-0.04070986818555981,0.014360929877880561
2025-06-17,57.78453826904297,60.40565347124304,BUY,9722.50458026886,0.013273200022981036,0.014837019375508062,0.013273200022981036
2025-06-18,57.312625885009766,58.655523052634614,BUY,9669.178480873108,0.015072972973087805,0.037468007511685095,0.015072972973087805
2025-06-20,57.58229064941406,59.15473362405102,BUY,9699.650599250794,0.032141394860134315,0.02120864501712337,0.032141394860134315
2025-06-23,58.53572845458984,58.87425583829508,BUY,9807.389071235655,0.022436849495048095,0.035563194628350725,0.022436849495048095
2025-06-27,69.37996673583984,58.50904320280593,HOLD,11032.787997016907,-0.0004558797248864711,0.06321090441947408,-0.0004558797248864711
2025-06-30,68.4168930053711,69.52054444287319,BUY,10923.960665473938,0.002026200265684466,0.07678993492798346,0.002026200265684466
2025-07-01,70.69937896728516,68.9297656223512,BUY,11181.881579170227,0.007496286289116288,0.04403432914760897,0.007496286289116288
2025-07-02,73.56934356689453,70.76596371632094,HOLD,11506.187578926087,0.0009418010456159834,-0.033072283640595966,0.0009418010456159834
2025-07-03,73.56934356689453,74.13984874862936,BUY,11506.187578926087,0.007754659129397943,-0.039083667420520905,0.007754659129397943
2025-07-07,73.70417785644531,74.3443025261377,BUY,11521.423853645325,0.010533721271259167,-0.02685574403430004,0.010533721271259167
2025-07-08,71.19054412841797,75.0624784575059,BUY,11237.383242378235,0.018429085576480802,-0.017864712963488228,0.018429085576480802
2025-07-09,70.84384155273438,72.88040896521197,BUY,11198.205851325989,0.023737209168477744,-0.018612716121602944,0.023737209168477744
2025-07-10,71.86469268798828,71.60541766308887,BUY,11313.56202960968,0.010750067947509604,-0.03709757867509369,0.010750067947509604
