Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2025-05-22,21.164844512939453,21.10701830791734,SELL,10000.0,-0.0027321818965766404,0.006260994114758382,-0.0027321818965766404
2025-05-23,21.42205810546875,21.261685291933908,BUY,9997.515041259765,0.004575548803831176,0.0058830402221620864,0.004575548803831176
2025-05-27,21.68845558166504,21.29137650447579,SELL,10025.901287651062,-0.006100328938964016,-0.005605454059476688,-0.006100328938964016
2025-05-28,21.2934513092041,21.6470210565674,HOLD,10025.901287651062,-0.0019104414761863602,0.013167161776952123,-0.0019104414761863602
2025-05-29,21.54147720336914,21.256666489184344,HOLD,10025.901287651062,-0.0017275179812610419,-0.004877145742188865,-0.0017275179812610419
2025-05-30,21.57822036743164,21.433598087694918,SELL,10025.901287651062,-0.005007972046473769,-0.004940088268988314,-0.005007972046473769
2025-06-02,21.550661087036133,21.470905668514046,SELL,10025.901287651062,-0.004973287745247398,-0.01727116981199424,-0.004973287745247398
2025-06-03,21.449613571166992,21.366475545703953,SELL,10025.901287651062,-0.00854663068517096,-1.0842021724855044e-19,-0.00854663068517096
2025-06-04,21.486358642578125,21.55049372576784,BUY,10023.408870048523,0.004703122238829106,0.031121859247872252,0.004703122238829106
2025-06-05,21.23833465576172,21.458993976914368,HOLD,9994.63808757782,-0.0012735832124449013,0.06466909011514994,-0.0012735832124449013
2025-06-06,21.449613571166992,21.306987385858495,BUY,10017.280325384141,0.0032324912103289067,0.06227179967629906,0.0032324912103289067
2025-06-09,22.019155502319336,21.420103824587503,HOLD,10132.897337408067,-0.0013757705462421257,0.0459929394831566,-0.0013757705462421257
2025-06-10,22.322296142578125,21.84402097310119,SELL,10191.845501028063,-0.007953735064893745,0.012788054065638781,-0.007953735064893745
2025-06-11,22.487648010253903,22.191875817391484,SELL,10204.274688138963,-0.005842603482796408,-0.00433678642046864,-0.005842603482796408
2025-06-12,22.81835174560547,22.195279237057246,SELL,10204.274688138963,-0.01300130511929665,-0.04621609426629918,-0.01300130511929665
2025-06-13,22.54276657104492,22.688077347386123,SELL,10204.274688138963,-0.005709194058875621,-0.03634663703483921,-0.005709194058875621
2025-06-16,22.41415786743164,22.296220084243267,SELL,10204.274688138963,-0.010936833596916518,-0.024331874285444637,-0.010936833596916518
2025-06-17,22.04671669006348,22.38464523280875,HOLD,10204.274688138963,-0.0013166961166884903,0.0016955690621231606,-0.0013166961166884903
2025-06-18,21.93647766113281,22.021779088981468,HOLD,10204.274688138963,-0.0011311253930727987,0.024944502869522527,-0.0011311253930727987
2025-06-20,22.019155502319336,22.1148360627605,BUY,10201.742485256196,0.008130676418653525,0.017216994014499,0.008130676418653525
2025-06-23,22.07427215576172,22.073119388618316,BUY,10206.182512996675,0.0024507700258210754,0.012744567196827865,0.0024507700258210754
2025-06-24,22.33148193359375,22.151227103307182,BUY,10256.452463497164,0.003486182783398211,-0.007376259495771655,0.003486182783398211
2025-06-25,22.285552978515625,22.411718198393068,BUY,10243.21158385849,0.003592966424615868,-0.0012586899129658953,0.003592966424615868
2025-06-26,22.267179489135746,22.3601611400021,BUY,10237.460681682589,0.003347826350030422,0.051741120545919256,0.003347826350030422
2025-07-01,23.002071380615234,22.306652268831073,HOLD,10467.481843715668,0.0017726888003299073,0.011990248676564123,0.0017726888003299073
2025-07-02,23.259281158447266,23.093738413408698,BUY,10547.988504177094,0.003985164260933213,0.01834698055030217,0.003985164260933213
2025-07-03,23.31439971923828,23.227562760162,HOLD,10565.240613704682,-0.0013636878143048045,0.011272381254685698,-0.0013636878143048045
2025-07-07,23.185792922973636,23.409520544812256,BUY,10524.986686473849,0.004079917420969825,0.03407499747793199,0.004079917420969825
2025-07-08,23.534868240356445,23.092493857396065,SELL,10631.540750967028,-0.004023975625398071,0.0017988393277408952,-0.004023975625398071
2025-07-09,23.47974967956543,23.355773842926617,SELL,10618.608017457964,-0.007609747188757379,-0.012136405371804545,-0.007609747188757379
2025-07-10,23.681846618652344,23.227659246221542,SELL,10639.727236452105,-0.010736504297713287,-0.06549530055545154,-0.010736504297713287
2025-07-11,23.56242561340332,23.582600365237557,SELL,10632.864031770709,-0.004190815649342949,-0.05726879001742773,-0.004190815649342949
2025-07-14,23.286842346191406,23.510521696064675,SELL,10632.864031770709,-0.002202825727293598,-0.04288550855965031,-0.002202825727293598
2025-07-15,22.607067108154297,23.242989084951777,HOLD,10632.864031770709,-0.0018831776583397482,-0.006996174942850687,-0.0018831776583397482
2025-07-16,22.607067108154297,22.572890077146727,HOLD,10632.864031770709,-0.001511785268034317,-0.017362292228469817,-0.001511785268034317
2025-07-17,22.57950782775879,22.701613866025685,BUY,10630.222229354862,0.0041821770784802115,0.027651645941728035,0.0041821770784802115
2025-07-18,22.47846221923828,22.675523571285233,BUY,10616.421788482668,0.004252339965019114,0.04432084311248754,0.004252339965019114
2025-07-21,22.285552978515625,22.56401084313739,BUY,10575.382262084964,0.0038058041099400834,0.05225577208007546,0.0038058041099400834
