Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2024-06-14,43.0,43.76834748089314,SELL,10000.0,-0.00095075445,0.01465116279069778,-0.00095075445
2024-06-17,43.63,42.921741366386414,SELL,10000.0,-0.0018199597,0.01856520742608292,-0.0018199597
2024-06-18,44.44,43.564512933492665,SELL,10000.0,-0.0015009474,0.022952295229523134,-0.0015009474
2024-06-20,45.46,44.36963911771774,SELL,10000.0,-0.0015832821,0.004399472063352228,-0.0015832821
2024-06-21,45.66,45.24763297200203,SELL,10000.0,-0.0046714908,0.03985983355234346,-0.0046714908
2024-06-24,47.48,44.965213268995285,SELL,10000.0,-0.015216543,0.0008424599831509116,-0.015216543
2024-06-25,47.52,47.10450049400329,SELL,10000.0,-0.007908576,-0.027146464646464755,-0.007908576
2024-06-26,46.23,47.15808563232422,SELL,10000.0,-0.007616015,0.016872160934458202,-0.007616015
2024-06-27,47.01,46.17312601089477,SELL,10000.0,-0.0012302424,0.003616251861306096,-0.0012302424
2024-06-28,47.18,46.5614675527811,SELL,10000.0,-0.009541219,-0.012717253073336154,-0.009541219
2024-07-01,46.58,46.91208392977715,SELL,10000.0,-0.005678622,0.002361528553026959,-0.005678622
2024-07-02,46.69,46.90013377428055,BUY,10000.0,0.0068727513,0.013279074748340223,0.0068727513
2024-07-03,47.31,46.52651057302952,SELL,10119.04,-0.0035016097,-0.02473050095117313,-0.0035016097
2024-07-05,46.14,46.87750694990158,SELL,10119.04,-0.0091417,0.0021673168617251104,-0.0091417
2024-07-08,46.24,45.809942500591276,SELL,10119.04,-0.007153391,-0.02249134948096887,-0.007153391
2024-07-09,45.2,46.20865466117859,SELL,10119.04,-0.0006778717,0.001769911504424737,-0.0006778717
2024-07-10,45.28,44.74235084056855,SELL,10119.04,-0.01012496,0.020097173144876246,-0.01012496
2024-07-11,46.19,45.319582042694094,BUY,10119.04,0.000874188,0.004979432777657555,0.000874188
2024-07-12,46.42,45.91977119266986,SELL,10164.35,-0.0058503966,0.033175355450236976,-0.0058503966
2024-07-15,47.96,46.08564860105515,SELL,10164.35,-0.007202758,0.01584653878231856,-0.007202758
2024-07-16,48.72,47.896395287513734,SELL,10164.35,-0.0013261859,0.003694581280788256,-0.0013261859
2024-07-17,48.9,48.69321697711945,SELL,10164.35,-0.00054974086,-0.0036809815950920033,-0.00054974086
2024-07-18,48.72,48.4908827483654,SELL,10164.35,-0.008366386,0.019499178981937648,-0.008366386
2024-07-19,49.67,48.8783111000061,BUY,10164.35,0.003249383,-0.004630561707268055,0.003249383
2024-07-22,49.44,49.994590173959736,BUY,10122.029999999999,0.0065348805,-0.007888349514563076,0.0065348805
2024-07-23,49.05,49.422911195755006,SELL,10050.269999999999,-0.0003456482,-0.02079510703363907,-0.0003456482
2024-07-24,48.03,49.140602606534955,BUY,10050.269999999999,0.0018471007,0.004164064126587429,0.0018471007
2024-07-25,48.23,47.9037528938055,SELL,10087.869999999999,-0.0026284836,0.012440389798880291,-0.0026284836
2024-07-26,48.83,47.704855453968044,SELL,10087.869999999999,-0.01088833,-0.019864837190251894,-0.01088833
2024-07-29,47.86,48.66793200731277,SELL,10087.869999999999,-0.0033190446,-0.005223568742164675,-0.0033190446
2024-07-30,47.61,48.10989461898804,BUY,10087.869999999999,0.005221414,0.014282713715605857,0.005221414
2024-07-31,48.29,47.76782013773918,BUY,10217.07,0.0033148092,-0.033754400496997405,0.0033148092
2024-08-01,46.66,47.911991771459576,SELL,9907.369999999999,-0.007827861,-0.03707672524646377,-0.007827861
2024-08-02,44.93,46.52310053825378,SELL,9907.369999999999,-0.0029339564,-0.025817939016247404,-0.0029339564
2024-08-05,43.77,44.663463042378424,SELL,9907.369999999999,-0.0059322445,-0.008453278501256656,-0.0059322445
2024-08-06,43.4,43.18382035911083,SELL,9907.369999999999,-0.013392285,-0.01244239631336408,-0.013392285
2024-08-07,42.86,43.50715215206146,BUY,9907.369999999999,0.0024689492,0.019365375641623883,0.0024689492
2024-08-08,43.69,42.90027158260345,BUY,10080.01,0.00093955034,-0.003204394598306237,0.00093955034
2024-08-09,43.55,43.61337877333164,SELL,10050.89,-0.001753755,0.008036739380022917,-0.001753755
2024-08-12,43.9,43.06921439766884,SELL,10050.89,-0.011039843,-0.002961275626423566,-0.011039843
2024-08-13,43.77,43.91387867927551,BUY,10050.89,0.00031612653,0.00022846698652045916,0.00031612653
2024-08-14,43.78,43.71714378118515,SELL,10052.949999999999,-0.0012076121,0.028780264961169477,-0.0012076121
2024-08-15,45.04,43.571880017519,SELL,10052.949999999999,-0.004753748,-0.005772646536412074,-0.004753748
2024-08-16,44.78,44.71891459941864,SELL,10052.949999999999,-0.0071288673,0.012952210808396591,-0.0071288673
2024-08-19,45.36,44.47486093878746,SELL,10052.949999999999,-0.006814166,-0.029320987654320896,-0.006814166
2024-08-20,44.03,45.23261133670807,SELL,10052.949999999999,-0.0028084046,0.0038610038610038533,-0.0028084046
2024-08-21,44.2,44.01516430914402,SELL,10052.949999999999,-0.00033695373,-0.0018099547511313265,-0.00033695373
2024-08-22,44.12,43.73730095624924,SELL,10052.949999999999,-0.0104683,0.022665457842248493,-0.0104683
2024-08-23,45.12,44.17479361534119,BUY,10052.949999999999,0.0012419472,0.010638297872340496,0.0012419472
2024-08-26,45.6,45.284508247375484,BUY,10148.949999999999,0.0036460403,-0.012280701754386003,0.0036460403
2024-08-27,45.04,46.10848360061646,BUY,10036.949999999999,0.011150967,-0.02886323268206037,0.011150967
2024-08-28,43.74,44.86670950889587,SELL,9776.949999999999,-0.0038475003,0.010059442158207643,-0.0038475003
2024-08-29,44.18,43.87994429826737,BUY,9776.949999999999,0.0031994546,-0.004300588501584324,0.0031994546
2024-08-30,43.99,43.999606142044065,SELL,9739.14,-0.004083135,-0.038645146624232796,-0.004083135
2024-09-03,42.29,44.41224297642708,BUY,9739.14,0.009598575,-0.02293686450697563,0.009598575
2024-09-04,41.32,42.310538504123684,BUY,9538.349999999999,0.00048561883,-0.002420135527589573,0.00048561883
