Date,TruePrice,PredictedPrice,Signal,PortfolioValue,PredictedReturn,y_true,y_pred
2024-05-30,152.96,154.28760952591895,SELL,10000.0,-0.00033943614,-0.012552301255230214,-0.00033943614
2024-05-31,151.04,152.89742004394532,SELL,10000.0,-0.00040910198,0.0258871822033897,-0.00040910198
2024-06-03,154.95,151.0295748901367,HOLD,10000.0,-6.905161e-05,0.051435947079703226,-6.905161e-05
2024-06-05,162.92,154.96474024057386,HOLD,10000.0,9.507991e-05,-0.005217284556837676,9.507991e-05
2024-06-06,162.07,162.96824319839476,BUY,10000.0,0.00029612362,0.01431480224594317,0.00029612362
2024-06-07,164.39,162.1859601378441,BUY,10127.599999999999,0.0007154499,0.022933268446985844,0.0007154499
2024-06-10,168.16,164.4935887646675,BUY,10334.949999999999,0.0006301873,-0.014569457659372011,0.0006301873
2024-06-11,165.71,168.3153783607483,BUY,10200.2,0.000924019,0.043871824271317195,0.000924019
2024-06-12,172.98,165.86910009622574,BUY,10600.05,0.00096013385,-0.0004046710602381154,0.00096013385
2024-06-13,172.91,173.21254101991653,BUY,10596.199999999999,0.0013443477,-0.0023133422011450966,0.0013443477
2024-06-14,172.51,173.17612770676612,BUY,10574.199999999999,0.0015390918,0.02741870036519622,0.0015390918
2024-06-17,177.24,172.77448382258413,BUY,10834.35,0.001533195,0.013823064770932092,0.001533195
2024-06-18,179.69,177.49823441505433,BUY,10969.1,0.0014569899,-0.023985753241694052,0.0014569899
2024-06-20,175.38,179.9862913608551,BUY,10732.05,0.0016488506,-0.008096704299235924,0.0016488506
2024-06-21,173.96,175.59672118663786,BUY,10653.95,0.0012357426,-0.03535295470223043,0.0012357426
2024-06-24,167.81,174.21372512340545,BUY,10315.699999999999,0.0014584884,0.028544186878016742,0.0014584884
2024-06-25,172.6,168.05517528533935,BUY,10579.15,0.0014609735,-0.0030706836616454236,0.0014609735
2024-06-26,172.07,172.84157721996306,BUY,10550.0,0.0013996025,-0.0025570988551171236,0.0013996025
2024-06-27,171.63,172.38291578412054,BUY,10525.8,0.0018184818,0.012701742119676007,0.0018184818
2024-06-28,173.81,171.90056159019468,BUY,10645.699999999999,0.0015764356,-0.008515045164259716,0.0015764356
2024-07-01,172.33,174.17216080069542,BUY,10564.300000000001,0.0020836664,0.019555503974931776,0.0020836664
2024-07-02,175.7,172.73825773358345,BUY,10749.65,0.002369064,0.038645418326693326,0.002369064
2024-07-03,182.49,176.1409147143364,BUY,11123.1,0.002509441,0.008219628472793117,0.002509441
2024-07-05,183.99,182.9962925541401,BUY,11205.6,0.002774392,0.014348605902494649,0.002774392
2024-07-08,186.63,184.5165092790127,BUY,11350.8,0.002861588,-0.01130579220918382,0.002861588
2024-07-09,184.52,187.15638838291167,BUY,11234.75,0.002820492,0.03538911771081721,0.002820492
2024-07-10,191.05,185.0628075838089,BUY,11593.9,0.0029416797,-0.034284218790892496,0.0029416797
2024-07-11,184.5,191.5650095999241,BUY,11233.65,0.002695674,0.015447154471544655,0.002695674
2024-07-12,187.35,185.022734105587,BUY,11390.4,0.0028332968,-0.011369095276220986,0.0028332968
2024-07-15,185.22,187.85119416117666,BUY,11273.25,0.0026751526,-0.07569376957132068,0.0026751526
2024-07-17,171.2,185.74830683469773,BUY,10502.15,0.002852286,0.003913551401869331,0.002852286
2024-07-18,171.87,171.7007053375244,BUY,10539.0,0.0029246658,-0.03549194158375513,0.0029246658
2024-07-19,165.77,172.29728767991065,BUY,10203.5,0.002486127,0.02159618748868897,0.002486127
2024-07-22,169.35,166.15178877830508,BUY,10400.4,0.0023031333,-0.05639208739297308,0.0023031333
2024-07-24,159.8,169.66031118035315,BUY,9875.15,0.00183232,0.003003754693366556,0.00183232
2024-07-25,160.28,160.0717050790787,BUY,9901.55,0.0017002401,0.01035687546793107,0.0017002401
2024-07-26,161.94,160.48379382133484,BUY,9992.85,0.0012714704,-0.01191799431888363,0.0012714704
2024-07-29,160.01,162.22897283792494,BUY,9886.699999999999,0.0017844364,0.03618523842259869,0.0017844364
2024-07-31,165.8,160.22003128409384,BUY,10205.15,0.0013126676,-0.045958986731001183,0.0013126676
2024-08-01,158.18,166.02326431274415,BUY,9786.05,0.0013466389,-0.052598305727652006,0.0013466389
2024-08-02,149.86,158.43748585462572,BUY,9328.45,0.0016278254,-0.012745228880288397,0.0016278254
2024-08-05,147.95,150.05486819267276,BUY,9223.399999999998,0.001300282,0.0502872592091923,0.001300282
2024-08-06,155.39,148.12984463572502,BUY,9632.599999999999,0.0012155484,0.05894845228135681,0.0012155484
2024-08-08,164.55,155.64007307529448,BUY,10136.4,0.0016093194,0.015618353084168923,0.0016093194
2024-08-09,167.12,164.83125261068346,BUY,10277.75,0.0017092192,0.0030516993776925627,0.0017092192
2024-08-12,167.63,167.34765162467957,BUY,10305.8,0.001362184,0.0280975958957228,0.001362184
2024-08-13,172.34,167.74226479291914,BUY,10564.85,0.00066971185,-0.013751885807125497,0.00066971185
2024-08-14,169.97,172.39754522562026,BUY,10434.5,0.0003339546,0.023474730834853297,0.0003339546
2024-08-15,173.96,169.95121712327003,SELL,10653.95,-0.000110483066,0.003334099793055767,-0.000110483066
2024-08-16,174.54,173.92472526073456,SELL,10653.95,-0.00020277934,0.005213704594935198,-0.00020277934
2024-08-19,175.45,174.51141147136687,SELL,10653.95,-0.0001638096,-0.019435736677115956,-0.0001638096
2024-08-20,172.04,175.39021370112894,SELL,10653.95,-0.00034073615,-0.003487561032318065,-0.00034073615
2024-08-21,171.44,171.83783483743667,SELL,10653.95,-0.0011750794,-0.029164722351843198,-0.0011750794
2024-08-22,166.44,171.23729322910307,SELL,10653.95,-0.0011823848,0.029079548185532378,-0.0011823848
2024-08-23,171.28,166.16387010097503,SELL,10653.95,-0.0016590159,-0.012902849135917882,-0.0016590159
2024-08-26,169.07,170.93893493652345,SELL,10653.95,-0.0019912466,0.008753770627550894,-0.0019912466
2024-08-27,170.55,168.74771603643893,SELL,10653.95,-0.001906229,-0.007915567282322011,-0.001906229
2024-08-28,169.2,170.17087498605252,SELL,10653.95,-0.0022229443,-0.00029550827423152626,-0.0022229443
2024-08-29,169.15,168.85117635726928,SELL,10653.95,-0.0020615845,-0.05119716228199822,-0.0020615845
2024-09-03,160.49,168.80195493996143,SELL,10653.95,-0.0020576008,0.0023677487693936072,-0.0020576008
2024-09-04,160.87,160.1576215207577,SELL,10653.95,-0.0020710432,0.017591844346366514,-0.0020710432
2024-09-05,163.7,160.5494435399771,SELL,10653.95,-0.0019926317,-0.042028100183262085,-0.0019926317
2024-09-06,156.82,163.38597168922422,SELL,10653.95,-0.0019183352,0.03800535645963521,-0.0019183352
2024-09-09,162.78,156.57040170788764,SELL,10653.95,-0.0015916503,-0.0021501412949993526,-0.0015916503
2024-09-10,162.43,162.46646551966668,SELL,10653.95,-0.001926098,0.04802068583389762,-0.001926098
2024-09-11,170.23,162.2114576393366,SELL,10653.95,-0.0013454349,0.0070492862597661965,-0.0013454349
2024-09-12,171.43,170.00572179317473,SELL,10653.95,-0.0013174806,0.006241614653211158,-0.0013174806
2024-09-13,172.5,171.22633434057235,SELL,10653.95,-0.0011880274,-0.01982608695652166,-0.0011880274
2024-09-16,169.08,172.31374517083168,SELL,10653.95,-0.0010797259,-0.010231842914596778,-0.0010797259
2024-09-17,167.35,168.8777959442139,SELL,10653.95,-0.0011959221,-0.0004182850313713127,-0.0011959221
2024-09-18,167.28,167.24376798272132,SELL,10653.95,-0.0006347765,0.053443328550932596,-0.0006347765
2024-09-19,176.22,167.2044423007965,SELL,10653.95,-0.00045171173,-0.012143911020315423,-0.00045171173
2024-09-20,174.08,176.0822251904011,SELL,10653.95,-0.00078184396,0.003906249999999778,-0.00078184396
2024-09-23,174.76,173.99572631835937,SELL,10653.95,-0.0004841292,0.04125658045319303,-0.0004841292
2024-09-24,181.97,174.52815978765486,SELL,10653.95,-0.0013266227,0.002088256305984526,-0.0013266227
2024-09-25,182.35,181.75387747883798,SELL,10653.95,-0.0011876537,0.024568138195777408,-0.0011876537
2024-09-26,186.83,182.11093839108943,SELL,10653.95,-0.0013110202,-0.04742279077236,-0.0013110202
2024-09-27,177.97,186.56166849136355,SELL,10653.95,-0.001436237,-0.0241613755127269,-0.001436237
2024-09-30,173.67,177.6729593026638,SELL,10653.95,-0.0016690318,-0.009212874992802433,-0.0016690318
2024-10-01,172.07,173.36738311886785,SELL,10653.95,-0.0017424677,0.021677224385424635,-0.0017424677
2024-10-02,175.8,171.74982284665106,SELL,10653.95,-0.0018607131,0.020932878270762064,-0.0018607131
