Date,open,high,low,adj_close
2016-01-04,27.48,27.995,27.33,27.97
2016-01-05,27.88,28.19,27.42,28.16
2016-01-06,27.89,28.28,27.76,28.19
2016-01-07,27.82,28.19,27.67,27.84
2016-01-08,27.9,27.98,27.445,27.82
2016-01-11,27.95,28.36,27.82,28.06
2016-01-12,28.18,28.18,27.57,27.94
2016-01-13,27.96,28.1601,27.35,27.54
2016-01-14,27.53,28.1,27.18,27.91
2016-01-15,27.34,27.97,26.96,27.46
2016-01-19,27.63,27.93,27.465,27.64
2016-01-20,27.41,27.45,26.26,26.78
2016-01-21,26.88,27.53,26.58,27.42
2016-01-22,27.51,28.09,27.46,28.03
2016-01-25,28.0,28.1,27.14,27.16
2016-01-26,27.24,28.0,27.22,27.84
2016-01-27,27.97,28.42,27.64,28.05
2016-01-28,28.06,28.935,27.85,28.71
2016-01-29,29.0,29.67,28.96,29.57
2016-02-01,29.4,30.11,29.26,30.0
2016-02-02,29.7,30.16,29.41,30.14
2016-02-03,30.24,31.73,30.15,31.61
2016-02-04,31.66,32.42,31.61,32.25
2016-02-05,32.46,32.95,32.035,32.9
2016-02-08,32.76,33.12,32.11,32.36
2016-02-09,32.11,32.396,31.77,31.94
2016-02-10,31.0,31.42,30.55,31.12
2016-02-11,30.78,31.08,30.0,30.31
2016-02-12,30.3,30.62,29.98,30.46
2016-02-16,30.79,31.14,30.45,31.02
2016-02-17,31.22,31.28,30.74,31.09
2016-02-18,31.1,31.64,31.06,31.45
2016-02-19,31.32,31.355,30.9422,31.24
2016-02-22,31.49,31.73,31.22,31.69
2016-02-23,31.06,31.62,31.0,31.19
2016-02-24,31.22,31.85,31.08,31.75
2016-02-25,31.74,31.98,31.56,31.98
2016-02-26,31.83,32.14,31.16,31.73
2016-02-29,31.73,32.14,31.45,31.49
2016-03-01,31.77,31.96,31.205,31.77
2016-03-02,31.61,32.35,30.87,32.32
2016-03-03,32.39,33.1,32.02,33.08
2016-03-04,32.86,33.63,32.72,33.36
2016-03-07,33.48,34.05,33.3,33.92
2016-03-08,33.9,34.32,33.39,34.23
2016-03-09,34.07,34.36,33.95,34.17
2016-03-10,34.25,34.85,34.11,34.73
2016-03-11,34.93,34.98,34.44,34.73
2016-03-14,34.67,34.87,34.49,34.65
2016-03-15,34.59,34.75,34.27,34.5
2016-03-16,34.39,34.845,34.04,34.78
2016-03-17,34.86,35.0,34.55,34.91
2016-03-18,34.98,35.11,34.66,34.84
2016-03-21,34.75,35.08,34.67,34.88
2016-03-22,34.88,35.2,34.63,35.0
2016-03-23,34.98,35.5,34.505,34.72
2016-03-24,34.72,35.36,34.35,35.31
2016-03-28,35.27,35.49,34.945,35.16
2016-03-29,35.24,35.77,34.85,35.69
2016-03-30,35.75,35.76,35.41,35.43
2016-03-31,35.54,35.95,35.54,35.86
2016-04-01,35.74,35.95,35.35,35.66
2016-04-04,35.68,35.77,35.4,35.51
2016-04-05,35.33,35.34,34.55,34.6
2016-04-06,34.36,34.61,34.09,34.31
2016-04-07,34.31,34.6,34.23,34.35
2016-04-08,34.57,35.04,34.57,34.7
2016-04-11,34.72,35.05,34.49,34.54
2016-04-12,34.52,35.125,34.415,35.08
2016-04-13,35.09,35.09,34.61,34.76
2016-04-14,34.76,35.12,34.71,34.94
2016-04-15,34.83,34.94,34.36,34.37
2016-04-18,34.16,34.53,33.87,34.43
2016-04-19,34.56,34.97,34.42,34.8
2016-04-20,34.8,34.9,33.75,33.83
2016-04-21,33.75,33.83,33.18,33.36
2016-04-22,33.57,34.1599,33.53,34.09
2016-04-25,33.89,34.23,33.75,34.17
2016-04-26,34.31,34.73,34.23,34.62
2016-04-27,34.72,35.6,34.69,35.35
2016-04-28,35.03,35.52,34.89,35.16
2016-04-29,34.89,35.19,34.6,35.09
2016-05-02,35.26,35.38,34.82,35.09
2016-05-03,35.01,35.185,34.55,34.78
2016-05-04,34.76,35.51,34.75,35.26
2016-05-05,35.19,35.81,35.14,35.38
2016-05-06,35.15,35.945,35.15,35.68
2016-05-09,35.68,35.78,35.2,35.25
2016-05-10,35.32,35.41,35.041,35.2
2016-05-11,34.9,35.41,34.785,35.34
2016-05-12,35.33,35.58,34.97,35.46
2016-05-13,35.36,35.39,34.79,34.94
2016-05-16,34.84,35.0165,34.53,34.72
2016-05-17,34.72,34.83,34.14,34.34
2016-05-18,34.2,34.32,33.66,33.85
2016-05-19,33.6,34.26,33.55,34.18
2016-05-20,34.28,34.31,33.98,34.27
2016-05-23,34.32,34.39,33.7,33.73
2016-05-24,33.71,33.99,33.695,33.99
2016-05-25,33.66,34.025,33.27,33.88
2016-05-26,33.91,34.3,33.82,34.17
2016-05-27,34.21,34.36,34.07,34.33
2016-05-31,34.34,34.41,33.96,34.27
2016-06-01,34.28,34.49,34.19,34.41
2016-06-02,34.3,34.73,34.19,34.72
2016-06-03,34.93,35.31,34.91,34.96
2016-06-06,35.05,35.25,34.82,35.02
2016-06-07,35.08,35.1,34.61,34.72
